"id","congAcc","incongAcc","congCorr_meanRT","incongCorr_meanRT","congCorr_logMeanRT","incongCorr_logMeanRT","flankEff_meanACC","flankEff_meanRT","flankEff_logMeanRT","reported_errors","committed_errors","memoryBias_score","percent_incong_errorFaces_reported_old","percent_incong_errorFaces_reported_new","percent_incong_corrFaces_reported_old","percent_incong_corrFaces_reported_new","percent_foilFaces_reported_new","percent_foilFaces_reported_old","percent_incong_errorFaces_reported_friendly","percent_incong_errorFaces_reported_unfriendly","percent_incong_corrFaces_reported_friendly","percent_incong_corrFaces_reported_unfriendly","percent_post_incong_errorFaces_reported_old","percent_post_incong_errorFaces_reported_new","percent_post_incong_correctFaces_reported_old","percent_post_incong_correctFaces_reported_new","percent_pre_incong_errorFaces_reported_old","percent_pre_incong_errorFaces_reported_new","percent_pre_incong_correctFaces_reported_old","percent_pre_incong_correctFaces_reported_new","percent_post_incong_errorFaces_reported_friendly","percent_post_incong_errorFaces_reported_unfriendly","percent_post_incong_correctFaces_reported_friendly","percent_post_incong_correctFaces_reported_unfriendly","percent_pre_incong_errorFaces_reported_friendly","percent_pre_incong_errorFaces_reported_unfriendly","percent_pre_incong_correctFaces_reported_friendly","percent_pre_incong_correctFaces_reported_unfriendly","errorFaces_hit","pre_errorFaces_hit","post_errorFaces_hit","correctFaces_hit","pre_correctFaces_hit","post_correctFaces_hit","falseAlarm_for_both","d_prime_error","pre_d_prime_error","post_d_prime_error","d_prime_correct","pre_d_prime_correct","post_d_prime_correct","criterion_error","pre_criterion_error","post_criterion_error","criterion_correct","pre_criterion_correct","post_criterion_correct","gen_hit","num_incong_errors"
"75","1","0.9125","0.350048412615433","0.45072198627287","0.299558274842746","0.370784879194729","-0.0875","0.100673573657437","0.071226604351983","7","7","0","42.8571428571429","57.1428571428571","19.1780821917808","80.8219178082192","91.25","8.75","71.4285714285714","28.5714285714286","61.6438356164384","38.3561643835616","28.5714285714286","71.4285714285714","23.5294117647059","76.4705882352941","28.5714285714286","71.4285714285714","23.1884057971014","76.8115942028985","57.1428571428571","42.8571428571429","55.8823529411765","44.1176470588235","42.8571428571429","57.1428571428571","57.9710144927536","42.0289855072464","0.428571428571429","0.285714285714286","0.285714285714286","0.191780821917808","0.231884057971014","0.235294117647059","0.0875","1.17629937554254","0.790362923402384","0.790362923402384","0.484959118749008","0.623655498435387","0.634789461352904","-0.768162057563976","-0.961130283634055","-0.961130283634055","-1.11383218596074","-1.04448399611755","-1.0389170146588","0.2125","7"
"76","0.9375","0.7875","0.430304183314244","0.486178608168466","0.357049764258799","0.396104987685392","-0.15","0.0558744248542222","0.0390552234265933","15","22","0.318181818181818","41.1764705882353","58.8235294117647","45.9016393442623","54.0983606557377","58.75","41.25","52.9411764705882","47.0588235294118","73.7704918032787","26.2295081967213","71.4285714285714","28.5714285714286","53.5714285714286","46.4285714285714","33.3333333333333","66.6666666666667","56.3636363636364","43.6363636363636","71.4285714285714","28.5714285714286","75","25","86.6666666666667","13.3333333333333","78.1818181818182","21.8181818181818","0.411764705882353","0.333333333333333","0.714285714285714","0.459016393442623","0.563636363636364","0.535714285714286","0.4125","-0.00188911794279625","-0.209608586297887","0.787067534930434","0.118206679276126","0.381313960836965","0.310761064073333","-0.222063271968969","-0.325923006146514","0.172415054467646","-0.162015373359507","-0.0304617325790882","-0.065738180960904","0.448717948717949","17"
"77","1","0.95","0.491938241291791","0.597962965331972","0.399216178639077","0.466975387666837","-0.05","0.10602472404018","0.0677592090277595","7","4","-0.75","25","75","72","28","51.25","48.75","50","50","56","44","75","25","67.5675675675676","32.4324324324324","50","50","73.2394366197183","26.7605633802817","75","25","45.945945945946","54.054054054054","50","50","49.2957746478873","50.7042253521127","0.25","0.5","0.75","0.72","0.732394366197183","0.675675675675676","0.4875","-0.643151768174655","0.0313379820214266","0.705827732217508","0.614179489292643","0.651408642133874","0.486978295759306","-0.352913866108754","-0.0156689910107133","0.321575884087328","0.275751762624895","0.29436633904551","0.212151165858226","0.69620253164557","4"
"76","0.975","0.9","0.493356015354108","0.537163836195961","0.399566172830426","0.428720805108053","-0.075","0.0438078208418531","0.0291546322776268","Missing","10","Missing","50","50","47.2222222222222","52.7777777777778","82.5","17.5","87.5","12.5","69.4444444444444","30.5555555555556","62.5","37.5","43.9393939393939","56.0606060606061","42.8571428571429","57.1428571428571","39.0625","60.9375","75","25","66.6666666666667","33.3333333333333","42.8571428571429","57.1428571428571","71.875","28.125","0.5","0.428571428571429","0.625","0.472222222222222","0.390625","0.439393939393939","0.175","0.93458929107348","0.754576921280775","1.25322865503786","0.864904370755025","0.656898851251903","0.782083316827236","-0.46729464553674","-0.557300830433093","-0.307974963554553","-0.502137105695968","-0.606139865447529","-0.543547632659862","0.475","8"
"79","1","0.9125","0.601114882458933","0.667701758896275","0.466776020270991","0.506853381756991","-0.0875","0.0665868764373418","0.0400773614860002","12","7","-0.714285714285714","71.4285714285714","28.5714285714286","47.0588235294118","52.9411764705882","62.5","37.5","28.5714285714286","71.4285714285714","36.7647058823529","63.2352941176471","28.5714285714286","71.4285714285714","41.7910447761194","58.2089552238806","57.1428571428571","42.8571428571429","36.7647058823529","63.2352941176471","57.1428571428571","42.8571428571429","40.2985074626866","59.7014925373134","42.8571428571429","57.1428571428571","32.3529411764706","67.6470588235294","0.714285714285714","0.571428571428571","0.285714285714286","0.470588235294118","0.367647058823529","0.417910447761194","0.375","0.884588185897238","0.49865173375708","-0.247309457968488","0.244848090156102","-0.0194522928398319","0.111397399225279","0.123654728984244","-0.0693134970858351","-0.442294092948619","-0.196215318886324","-0.328365510384291","-0.262940664351736","0.493333333333333","7"
"80","0.9625","0.7375","0.445496683008969","0.522723079627474","0.368015237708056","0.420292143802502","-0.225","0.0772263966185056","0.0522769060944455","10","24","0.583333333333333","42.8571428571429","57.1428571428571","49.1525423728814","50.8474576271186","83.75","16.25","76.1904761904762","23.8095238095238","54.2372881355932","45.7627118644068","62.5","37.5","46.8085106382979","53.1914893617021","41.1764705882353","58.8235294117647","53.1914893617021","46.8085106382979","37.5","62.5","61.7021276595745","38.2978723404255","52.9411764705882","47.0588235294118","61.7021276595745","38.2978723404255","0.428571428571429","0.411764705882353","0.625","0.491525423728814","0.531914893617021","0.468085106382979","0.1625","0.80422259065362","0.761227129505958","1.3028743244107","0.962990750080606","1.06431925624314","0.904150664649512","-0.582123665119515","-0.603621395693346","-0.332797798240975","-0.502739585406022","-0.452075332324756","-0.532159628121569","0.475","21"
"81","0.9875","0.7125","0.423747325233549","0.482755654360772","0.352774875091539","0.393687756151571","-0.275","0.059008329127223","0.0409128810600317","6","24","0.75","21.7391304347826","78.2608695652174","29.8245614035088","70.1754385964912","87.5","12.5","73.9130434782609","26.0869565217391","64.9122807017544","35.0877192982456","23.8095238095238","76.1904761904762","39.1304347826087","60.8695652173913","14.2857142857143","85.7142857142857","26.0869565217391","73.9130434782609","61.9047619047619","38.0952380952381","65.2173913043478","34.7826086956522","66.6666666666667","33.3333333333333","69.5652173913043","30.4347826086957","0.217391304347826","0.142857142857143","0.238095238095238","0.298245614035088","0.260869565217391","0.391304347826087","0.125","0.369315568853299","0.0827788564978662","0.437906347986519","0.620896362831219","0.509682490456903","0.874428317268048","-0.965691595949358","-1.10895995212707","-0.931396206382749","-0.839901198960398","-0.895508135147556","-0.713135221741984","0.275","23"
"82","1","0.9375","0.474846305113427","0.549332618990259","0.387906701037579","0.436692584411265","-0.0625","0.0744863138768313","0.0487858833736864","15","5","-2","20","80","44.5945945945946","55.4054054054054","73.75","26.25","60","40","50","50","80","20","43.8356164383562","56.1643835616438","40","60","45.0704225352113","54.9295774647887","40","60","45.2054794520548","54.7945205479452","80","20","39.4366197183099","60.5633802816901","0.2","0.4","0.8","0.445945945945946","0.450704225352113","0.438356164383562","0.2625","-0.205964219875332","0.382309910561783","1.4772782472705","0.499746333051102","0.511774692438969","0.480518764574919","-0.738639123635248","-0.444502058416691","0.102982109937666","-0.385783847172032","-0.379769667478098","-0.395397631410123","0.430379746835443","5"
"83","1","0.9375","0.515945918490424","0.577643623969085","0.413991125996389","0.455418797494121","-0.0625","0.0616977054786608","0.0414276714977321","20","5","-3","40","60","26.7605633802817","73.2394366197183","90","10","20","80","15.4929577464789","84.5070422535211","20","80","25","75","40","60","25.7142857142857","74.2857142857143","40","60","20.8333333333333","79.1666666666667","40","60","15.7142857142857","84.2857142857143","0.4","0.4","0.2","0.267605633802817","0.257142857142857","0.25","0.1","1.0282044624088","1.0282044624088","0.439930331971687","0.661480905432154","0.629372579201814","0.607061815348519","-0.7674493343402","-0.7674493343402","-1.06158639955876","-0.950811112828524","-0.966865275943694","-0.978020657870341","0.276315789473684","5"
"84","0.9625","0.6125","0.481171076284035","0.557079883634436","0.390227628700893","0.441654344545567","-0.35","0.0759088073504006","0.0514267158446737","35","34","-0.0294117647058824","35.4838709677419","64.5161290322581","55.1020408163265","44.8979591836735","73.75","26.25","64.5161290322581","35.4838709677419","51.0204081632653","48.9795918367347","45.8333333333333","54.1666666666667","63.1578947368421","36.8421052631579","24","76","64.7058823529412","35.2941176470588","50","50","50","50","44","56","50","50","0.354838709677419","0.24","0.458333333333333","0.551020408163265","0.647058823529412","0.631578947368421","0.2625","0.263367653232392","-0.070645549142505","0.531023558083507","0.763896839677895","1.01304895752614","0.971695154069406","-0.503973187081387","-0.670979788268835","-0.370145234655829","-0.253708593858635","-0.129132534934514","-0.14980943666288","0.475","31"
