whichBlock,middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL,straightFace,imageSize,whichSurpriseBlock,instructsurpA1,instructsurpA2,newKey,taskTextSource,surpriseFaces,new,FriendlyKey,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,task_block_loop.thisRepN,task_block_loop.thisTrialN,task_block_loop.thisN,task_block_loop.thisIndex,task_trial_loop.thisRepN,task_trial_loop.thisTrialN,task_trial_loop.thisN,task_trial_loop.thisIndex,surprise_block_loop.thisRepN,surprise_block_loop.thisTrialN,surprise_block_loop.thisN,surprise_block_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,friendly_block_loop.thisRepN,friendly_block_loop.thisTrialN,friendly_block_loop.thisN,friendly_block_loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,prac_blockText.started,prac_blockText.stopped,prac_reminder_text.started,prac_reminder_text.stopped,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,prac_reminder_keyResp.started,prac_reminder_keyResp.stopped,initFixation_img.started,initFixation_img.stopped,ISI,bigFace.started,bigFace.stopped,cover_background_2.started,cover_background_2.stopped,prac_centerImg.started,prac_centerImg.stopped,prac_stim_keyResp.keys,prac_stim_keyResp.rt,prac_stim_keyResp.started,prac_stim_keyResp.stopped,accuracy,prac_blockFeed_text.started,prac_blockFeed_text.stopped,prac_pressContinue.started,prac_pressContinue.stopped,prac_blockFeed_keyResp.keys,prac_blockFeed_keyResp.rt,prac_blockFeed_keyResp.started,prac_blockFeed_keyResp.stopped,task_blockText.started,task_blockText.stopped,task_blockReminders_keyResp.keys,task_blockReminders_keyResp.rt,task_blockReminders_keyResp.started,task_blockReminders_keyResp.stopped,bigFace_2.started,bigFace_2.stopped,cover_background.started,cover_background.stopped,task_centerImg.started,task_centerImg.stopped,task_fixImg.started,task_fixImg.stopped,task1_stim_keyResp.keys,task1_stim_keyResp.rt,task1_stim_keyResp.started,task1_stim_keyResp.stopped,blockFeedCat,task_blockFeed_text.started,task_blockFeed_text.stopped,task_blockFeed_keyResp.keys,task_blockFeed_keyResp.rt,task_blockFeed_keyResp.started,task_blockFeed_keyResp.stopped,fix.started,fix.stopped,errorNumbers_text_2.started,errorNumbers_text_2.stopped,textbox_2.text,textbox_2.started,textbox_2.stopped,errorN_key_resp_2.keys,errorN_key_resp_2.rt,errorN_key_resp_2.started,errorN_key_resp_2.stopped,botherRate_text.started,botherRate_text.stopped,textbox_3.text,textbox_3.started,textbox_3.stopped,botherRate_key_resp.keys,botherRate_key_resp.rt,botherRate_key_resp.started,botherRate_key_resp.stopped,instruct_surprise1_4.started,instruct_surprise1_4.stopped,instruct_surp1_key_resp_4.keys,instruct_surp1_key_resp_4.rt,instruct_surprise1.started,instruct_surprise1.stopped,instruct_surp1_key_resp.keys,instruct_surp1_key_resp.rt,instructMainTask_text.started,instructMainTask_text.stopped,instructMainTask_keyResp.keys,instructMainTask_keyResp.rt,instructMainTask_keyResp.started,instructMainTask_keyResp.stopped,stimulus.started,stimulus.stopped,instructsurpA1_right.started,instructsurpA1_right.stopped,instructsurpA2_left.started,instructsurpA2_left.stopped,surprise_key_resp.keys,surprise_key_resp.rt,surprise_key_resp.started,surprise_key_resp.stopped,instruct_surprise1_2.started,instruct_surprise1_2.stopped,instruct_surp1_key_resp_2.keys,instruct_surp1_key_resp_2.rt,instructMainTask_text_2.started,instructMainTask_text_2.stopped,instructMainTask_keyResp_2.keys,instructMainTask_keyResp_2.rt,instructMainTask_keyResp_2.started,instructMainTask_keyResp_2.stopped,stimulus_2.started,stimulus_2.stopped,instructsurpA1_right_2.started,instructsurpA1_right_2.stopped,instructsurpA2_left_2.started,instructsurpA2_left_2.stopped,friendly_key_resp.keys,friendly_key_resp.rt,friendly_key_resp.started,friendly_key_resp.stopped,finishMessage_text.started,finishMessage_text.stopped,id,cb,friendly,date,expName,psychopyVersion,frameRate,
a_halfV_trialTable_1.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-MF-347-001-N.jpg,"[0.035, 0.035]",,,,,,,,,,,,,,,,,0,3,3,0,0,22,22,4,,,,,,,,,,,,,,,,,,,,,,,,,,,3.910821643286573,,,,,,,,,,,1,,,,,,,,,,,,,,,621.1924942850019,621.1924942850019,621.1924942850019,621.5510493519978,621.3164776710037,621.5167773720023,621.1924942850019,621.1924942850019,['1'],[0.6055663809966063],621.1924942850019,621.1924942850019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888,A,A,2022-06-08_11h02.47.777,face_flanker_v1,2022.1.4,60.8604906567625,
a_halfV_trialTable_1.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-MF-313-002-N.jpg,"[0.035, 0.035]",,,,,,,,,,,,,,,,,0,3,3,0,0,23,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.80561122244489,,,,,,,,,,,1,,,,,,,,,,,,,,,625.3175300450093,625.3175300450093,625.3175300450093,625.6684093670046,625.4506341899978,625.6503459030064,625.3175300450093,625.3175300450093,['1'],[0.5906102820008527],625.3175300450093,625.3175300450093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888,A,A,2022-06-08_11h02.47.777,face_flanker_v1,2022.1.4,60.8604906567625,
a_halfV_trialTable_1.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-LM-243-075-N.jpg,"[0.035, 0.035]",,,,,,,,,,,,,,,,,0,3,3,0,0,24,24,14,,,,,,,,,,,,,,,,,,,,,,,,,,,3.760521042084168,,,,,,,,,,,1,,,,,,,,,,,,,,,629.3410473140102,629.3410473140102,629.3410473140102,629.7005776540027,629.4838604469987,629.6833577280049,629.3410473140102,629.3410473140102,['8'],[0.5994080929958727],629.3410473140102,629.3410473140102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888,A,A,2022-06-08_11h02.47.777,face_flanker_v1,2022.1.4,60.8604906567625,
a_halfV_trialTable_1.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-LM-215-247-N.jpg,"[0.035, 0.035]",,,,,,,,,,,,,,,,,0,3,3,0,0,25,25,27,,,,,,,,,,,,,,,,,,,,,,,,,,,3.982965931863727,,,,,,,,,,,1,,,,,,,,,,,,,,,633.3095286949974,633.3095286949974,633.3095286949974,633.6677519460063,633.4501694700011,633.650194589005,633.3095286949974,633.3095286949974,['1'],[0.5970210029918235],633.3095286949974,633.3095286949974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888,A,A,2022-06-08_11h02.47.777,face_flanker_v1,2022.1.4,60.8604906567625,
a_halfV_trialTable_1.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-BF-027-002-N.jpg,"[0.035, 0.035]",,,,,,,,,,,,,,,,,0,3,3,0,0,26,26,17,,,,,,,,,,,,,,,,,,,,,,,,,,,3.606212424849699,,,,,,,,,,,1,,,,,,,,,,,,,,,637.5063013600011,637.5063013600011,637.5063013600011,637.8681587239989,637.6505544719985,637.8509186050069,637.5063013600011,637.5063013600011,['8'],[0.5448791700036963],637.5063013600011,637.5063013600011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888,A,A,2022-06-08_11h02.47.777,face_flanker_v1,2022.1.4,60.8604906567625,
a_halfV_trialTable_1.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-MM-324-069-N.jpg,"[0.035, 0.035]",,,,,,,,,,,,,,,,,0,3,3,0,0,27,27,7,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5871743486973946,,,,,,,,,,,1,,,,,,,,,,,,,,,641.3223570569971,641.3223570569971,641.3223570569971,641.6838706080016,641.4669512929977,641.665942881009,641.3223570569971,641.3223570569971,['1'],[0.7005491599993547],641.3223570569971,641.3223570569971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888,A,A,2022-06-08_11h02.47.777,face_flanker_v1,2022.1.4,60.8604906567625,
a_halfV_trialTable_1.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-LF-204-133-N.jpg,"[0.035, 0.035]",,,,,,,,,,,,,,,,,0,3,3,0,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7765531062124245,,,,,,,,,,,1,,,,,,,,,,,,,,,645.1234844060091,645.1234844060091,645.1234844060091,645.483037441998,645.2665084010077,645.4678039499995,645.1234844060091,645.1234844060091,['8'],[0.6105634309933521],645.1234844060091,645.1234844060091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888,A,A,2022-06-08_11h02.47.777,face_flanker_v1,2022.1.4,60.8604906567625,
a_halfV_trialTable_1.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-WF-207-014-N.jpg,"[0.035, 0.035]",,,,,,,,,,,,,,,,,0,3,3,0,0,29,29,5,,,,,,,,,,,,,,,,,,,,,,,,,,,3.627254509018036,,,,,,,,,,,1,,,,,,,,,,,,,,,649.1074071140029,649.1074071140029,649.1074071140029,649.4671535960078,649.2495306240016,649.4503734269965,649.1074071140029,649.1074071140029,['8'],[0.5563217570015695],649.1074071140029,649.1074071140029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888,A,A,2022-06-08_11h02.47.777,face_flanker_v1,2022.1.4,60.8604906567625,
a_halfV_trialTable_1.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-WM-237-052-N.jpg,"[0.035, 0.035]",,,,,,,,,,,,,,,,,0,3,3,0,0,30,30,19,,,,,,,,,,,,,,,,,,,,,,,,,,,3.844689378757515,,,,,,,,,,,1,,,,,,,,,,,,,,,652.9492696840025,652.9492696840025,652.9492696840025,653.3005615260045,653.0836366290023,653.3005615260045,652.9492696840025,652.9492696840025,['8'],[0.5224801179865608],652.9492696840025,652.9492696840025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888,A,A,2022-06-08_11h02.47.777,face_flanker_v1,2022.1.4,60.8604906567625,
a_halfV_trialTable_1.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-AM-249-163-N.jpg,"[0.035, 0.035]",,,,,,,,,,,,,,,,,0,3,3,0,0,31,31,13,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5440881763527052,,,,,,,,,,,1,,,,,,,,,,,,,,,657.0108511010039,657.0108511010039,657.0108511010039,657.3676482570008,657.1494744660013,657.3497030500002,657.0108511010039,657.0108511010039,['1'],[0.6086510269815335],657.0108511010039,657.0108511010039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888,A,A,2022-06-08_11h02.47.777,face_flanker_v1,2022.1.4,60.8604906567625,
