whichBlock,middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL,straightFace,imageSize,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,prac_blockText.started,prac_blockText.stopped,prac_reminder_text.started,prac_reminder_text.stopped,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,prac_reminder_keyResp.started,prac_reminder_keyResp.stopped,initFixation_img.started,initFixation_img.stopped,ISI,bigFace.started,bigFace.stopped,cover_background_2.started,cover_background_2.stopped,prac_centerImg.started,prac_centerImg.stopped,prac_stim_keyResp.keys,prac_stim_keyResp.started,prac_stim_keyResp.stopped,accuracy,id,cb,friendly,errorComm,date,expName,psychopyVersion,frameRate,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-WF-008-002-N.jpg,"[0.03, 0.03]",0,0,0,0,0,10,10,19,,,,,,,,,,,1.7845691382765532,32.47293150000041,32.47293150000041,32.47293150000041,32.6874097000109,32.47293150000041,32.6874097000109,None,32.47293150000041,32.47293150000041,0,,A,A,A,2022-05-31_11h13.14.021,face_flanker_v1,2022.1.3,59.73879807934783,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-IM-671-601-N.jpg,"[0.03, 0.03]",0,0,0,0,0,11,11,18,,,,,,,,,,,1.818637274549098,34.387876100008725,34.387876100008725,34.387876100008725,34.58900920000451,34.387876100008725,34.58900920000451,None,34.387876100008725,34.387876100008725,0,,A,A,A,2022-05-31_11h13.14.021,face_flanker_v1,2022.1.3,59.73879807934783,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-MF-328-020-N.jpg,"[0.03, 0.03]",0,0,0,0,0,12,12,1,,,,,,,,,,,1.9348697394789578,36.332829200007836,36.332829200007836,36.332829200007836,36.54137820001051,36.332829200007836,36.54137820001051,None,36.332829200007836,36.332829200007836,0,,A,A,A,2022-05-31_11h13.14.021,face_flanker_v1,2022.1.3,59.73879807934783,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-IF-634-382-N.jpg,"[0.03, 0.03]",0,0,0,0,0,13,13,9,,,,,,,,,,,1.8346693386773547,38.43968070000119,38.43968070000119,38.43968070000119,38.64334070000041,38.43968070000119,38.64334070000041,None,38.43968070000119,38.43968070000119,0,,A,A,A,2022-05-31_11h13.14.021,face_flanker_v1,2022.1.3,59.73879807934783,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-BF-213-188-N.jpg,"[0.03, 0.03]",0,0,0,0,0,14,14,10,,,,,,,,,,,1.6412825651302605,40.40589170000749,40.40589170000749,40.40589170000749,40.61169650001102,40.40589170000749,40.61169650001102,None,40.40589170000749,40.40589170000749,0,,A,A,A,2022-05-31_11h13.14.021,face_flanker_v1,2022.1.3,59.73879807934783,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-MF-342-022-N.jpg,"[0.03, 0.03]",0,0,0,0,0,15,15,2,,,,,,,,,,,1.8216432865731462,42.17085190000944,42.17085190000944,42.17085190000944,42.3804969000048,42.17085190000944,42.3804969000048,None,42.17085190000944,42.17085190000944,0,,A,A,A,2022-05-31_11h13.14.021,face_flanker_v1,2022.1.3,59.73879807934783,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-BM-041-035-N.jpg,"[0.03, 0.03]",0,0,0,0,0,16,16,4,,,,,,,,,,,1.6673346693386772,44.12073790001159,44.12073790001159,44.12073790001159,44.33194060000824,44.12073790001159,44.33194060000824,None,44.12073790001159,44.12073790001159,0,,A,A,A,2022-05-31_11h13.14.021,face_flanker_v1,2022.1.3,59.73879807934783,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-WF-223-133-N.jpg,"[0.03, 0.03]",0,0,0,0,0,17,17,8,,,,,,,,,,,1.5781563126252505,45.928244700000505,45.928244700000505,45.928244700000505,46.13392780000868,45.928244700000505,46.13392780000868,None,45.928244700000505,45.928244700000505,0,,A,A,A,2022-05-31_11h13.14.021,face_flanker_v1,2022.1.3,59.73879807934783,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-LM-226-175-N.jpg,"[0.03, 0.03]",0,0,0,0,0,18,18,17,,,,,,,,,,,1.6132264529058116,47.654359400010435,47.654359400010435,47.654359400010435,47.86902700000792,47.654359400010435,47.86902700000792,None,47.654359400010435,47.654359400010435,0,,A,A,A,2022-05-31_11h13.14.021,face_flanker_v1,2022.1.3,59.73879807934783,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-WF-036-023-N.jpg,"[0.03, 0.03]",0,0,0,0,0,19,19,6,,,,,,,,,,,1.7404809619238477,49.38809010000841,49.38809010000841,49.38809010000841,49.58819230001245,49.38809010000841,49.58819230001245,None,49.38809010000841,49.38809010000841,0,,A,A,A,2022-05-31_11h13.14.021,face_flanker_v1,2022.1.3,59.73879807934783,
