whichBlock,middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL,straightFace,imageSize,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,prac_blockText.started,prac_blockText.stopped,prac_reminder_text.started,prac_reminder_text.stopped,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,prac_reminder_keyResp.started,prac_reminder_keyResp.stopped,initFixation_img.started,initFixation_img.stopped,ISI,bigFace.started,bigFace.stopped,cover_background_2.started,cover_background_2.stopped,prac_centerImg.started,prac_centerImg.stopped,prac_stim_keyResp.keys,prac_stim_keyResp.started,prac_stim_keyResp.stopped,accuracy,prac_blockFeed_text.started,prac_blockFeed_text.stopped,prac_pressContinue.started,prac_pressContinue.stopped,prac_blockFeed_keyResp.keys,prac_blockFeed_keyResp.rt,prac_blockFeed_keyResp.started,prac_blockFeed_keyResp.stopped,id,cb,friendly,errorComm,date,expName,psychopyVersion,frameRate,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-BF-212-315-N.jpg,"[0.03, 0.03]",0,0,0,0,0,0,0,13,44.60624579999421,None,44.60624579999421,None,8,0.7982256000104826,44.60624579999421,None,45.44913819999783,None,1.8817635270541082,47.63125669999863,None,47.63125669999863,47.84038999999757,47.63125669999863,47.84038999999757,None,47.63125669999863,None,0,,,,,,,,,999,A,A,A,2022-05-31_11h21.29.179,face_flanker_v1,2022.1.3,59.965663663062514,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-IM-671-601-N.jpg,"[0.03, 0.03]",0,0,0,0,0,1,1,18,,,,,,,,,,,1.5821643286573146,49.648728400003165,49.648728400003165,49.648728400003165,49.85896969999885,49.648728400003165,49.85896969999885,None,49.648728400003165,49.648728400003165,0,,,,,,,,,999,A,A,A,2022-05-31_11h21.29.179,face_flanker_v1,2022.1.3,59.965663663062514,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-IF-634-382-N.jpg,"[0.03, 0.03]",0,0,0,0,0,2,2,9,,,,,,,,,,,1.714428857715431,51.42818950000219,51.42818950000219,51.42818950000219,51.627624999993714,51.42818950000219,51.627624999993714,None,51.42818950000219,51.42818950000219,0,,,,,,,,,999,A,A,A,2022-05-31_11h21.29.179,face_flanker_v1,2022.1.3,59.965663663062514,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-BF-014-002-N.jpg,"[0.03, 0.03]",0,0,0,0,0,3,3,5,,,,,,,,,,,1.6202404809619237,53.29734799999278,53.29734799999278,53.29734799999278,53.512695400000666,53.29734799999278,53.512695400000666,None,53.29734799999278,53.29734799999278,0,,,,,,,,,999,A,A,A,2022-05-31_11h21.29.179,face_flanker_v1,2022.1.3,59.965663663062514,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-BF-228-212-N.jpg,"[0.03, 0.03]",0,0,0,0,0,4,4,3,,,,,,,,,,,1.7204408817635268,55.04267319999053,55.04267319999053,55.04267319999053,55.24796599999536,55.04267319999053,55.24796599999536,None,55.04267319999053,55.04267319999053,0,,,,,,,,,999,A,A,A,2022-05-31_11h21.29.179,face_flanker_v1,2022.1.3,59.965663663062514,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-WF-036-023-N.jpg,"[0.03, 0.03]",0,0,0,0,0,5,5,6,,,,,,,,,,,1.562124248496994,56.88562999998976,56.88562999998976,56.88562999998976,57.099639499996556,56.88562999998976,57.099639499996556,None,56.88562999998976,56.88562999998976,0,,,,,,,,,999,A,A,A,2022-05-31_11h21.29.179,face_flanker_v1,2022.1.3,59.965663663062514,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-WM-242-011-N.jpg,"[0.03, 0.03]",0,0,0,0,0,6,6,14,,,,,,,,,,,1.785571142284569,58.57016550000117,58.57016550000117,58.57016550000117,58.7846264999971,58.57016550000117,58.7846264999971,None,58.57016550000117,58.57016550000117,0,,,,,,,,,999,A,A,A,2022-05-31_11h21.29.179,face_flanker_v1,2022.1.3,59.965663663062514,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-WF-223-133-N.jpg,"[0.03, 0.03]",0,0,0,0,0,7,7,8,,,,,,,,,,,1.7715430861723447,60.49098380000214,60.49098380000214,60.49098380000214,60.70313460000034,60.49098380000214,60.70313460000034,None,60.49098380000214,60.49098380000214,0,,,,,,,,,999,A,A,A,2022-05-31_11h21.29.179,face_flanker_v1,2022.1.3,59.965663663062514,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-MF-328-020-N.jpg,"[0.03, 0.03]",0,0,0,0,0,8,8,1,,,,,,,,,,,1.5090180360721441,62.39402799999516,62.39402799999516,62.39402799999516,62.6053649999958,62.39402799999516,62.6053649999958,None,62.39402799999516,62.39402799999516,0,,,,,,,,,999,A,A,A,2022-05-31_11h21.29.179,face_flanker_v1,2022.1.3,59.965663663062514,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-IM-674-281-N.jpg,"[0.03, 0.03]",0,0,0,0,0,9,9,12,,,,,,,,,,,1.7404809619238477,64.03725080000004,64.03725080000004,64.03725080000004,64.2399577999895,64.03725080000004,64.2399577999895,None,64.03725080000004,64.03725080000004,0,,,,,,,,,999,A,A,A,2022-05-31_11h21.29.179,face_flanker_v1,2022.1.3,59.965663663062514,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-BM-041-035-N.jpg,"[0.03, 0.03]",0,0,0,0,0,10,10,4,,,,,,,,,,,1.655310621242485,65.9080307999975,65.9080307999975,65.9080307999975,66.10861529999238,65.9080307999975,66.10861529999238,None,65.9080307999975,65.9080307999975,0,,,,,,,,,999,A,A,A,2022-05-31_11h21.29.179,face_flanker_v1,2022.1.3,59.965663663062514,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-AM-243-212-N.jpg,"[0.03, 0.03]",0,0,0,0,0,11,11,11,,,,,,,,,,,1.5791583166332666,67.68260059999011,67.68260059999011,67.68260059999011,67.8935727999924,67.68260059999011,67.8935727999924,None,67.68260059999011,67.68260059999011,0,,,,,,,,,999,A,A,A,2022-05-31_11h21.29.179,face_flanker_v1,2022.1.3,59.965663663062514,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-WM-228-065-N.jpg,"[0.03, 0.03]",0,0,0,0,0,12,12,16,,,,,,,,,,,1.6442885771543085,69.37730579999334,69.37730579999334,69.37730579999334,69.57900260000315,69.37730579999334,69.57900260000315,None,69.37730579999334,69.37730579999334,0,,,,,,,,,999,A,A,A,2022-05-31_11h21.29.179,face_flanker_v1,2022.1.3,59.965663663062514,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-MM-306-010-N.jpg,"[0.03, 0.03]",0,0,0,0,0,13,13,15,,,,,,,,,,,1.6513026052104207,71.13806060000206,71.13806060000206,71.13806060000206,71.34757790000003,71.13806060000206,71.34757790000003,None,71.13806060000206,71.13806060000206,0,,,,,,,,,999,A,A,A,2022-05-31_11h21.29.179,face_flanker_v1,2022.1.3,59.965663663062514,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-AM-235-241-N.jpg,"[0.03, 0.03]",0,0,0,0,0,14,14,0,,,,,,,,,,,1.68937875751503,72.90468720000354,72.90468720000354,72.90468720000354,73.11551740000141,72.90468720000354,73.11551740000141,None,72.90468720000354,72.90468720000354,0,,,,,,,,,999,A,A,A,2022-05-31_11h21.29.179,face_flanker_v1,2022.1.3,59.965663663062514,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-LM-226-175-N.jpg,"[0.03, 0.03]",0,0,0,0,0,15,15,17,,,,,,,,,,,1.6803607214428857,74.70836459999555,74.70836459999555,74.70836459999555,74.9173834999965,74.70836459999555,74.9173834999965,None,74.70836459999555,74.70836459999555,0,,,,,,,,,999,A,A,A,2022-05-31_11h21.29.179,face_flanker_v1,2022.1.3,59.965663663062514,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-MF-342-022-N.jpg,"[0.03, 0.03]",0,0,0,0,0,16,16,2,,,,,,,,,,,1.8967935871743486,76.51733049999166,76.51733049999166,76.51733049999166,76.71922729999642,76.51733049999166,76.71922729999642,None,76.51733049999166,76.51733049999166,0,,,,,,,,,999,A,A,A,2022-05-31_11h21.29.179,face_flanker_v1,2022.1.3,59.965663663062514,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-BF-213-188-N.jpg,"[0.03, 0.03]",0,0,0,0,0,17,17,10,,,,,,,,,,,1.6513026052104207,78.53664890000073,78.53664890000073,78.53664890000073,78.73801659999299,78.53664890000073,78.73801659999299,None,78.53664890000073,78.53664890000073,0,,,,,,,,,999,A,A,A,2022-05-31_11h21.29.179,face_flanker_v1,2022.1.3,59.965663663062514,
