whichBlock,middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL,straightFace,imageSize,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,task_block_loop.thisRepN,task_block_loop.thisTrialN,task_block_loop.thisN,task_block_loop.thisIndex,task_trial_loop.thisRepN,task_trial_loop.thisTrialN,task_trial_loop.thisN,task_trial_loop.thisIndex,prac_blockText.started,prac_blockText.stopped,prac_reminder_text.started,prac_reminder_text.stopped,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,prac_reminder_keyResp.started,prac_reminder_keyResp.stopped,initFixation_img.started,initFixation_img.stopped,ISI,bigFace.started,bigFace.stopped,cover_background_2.started,cover_background_2.stopped,prac_centerImg.started,prac_centerImg.stopped,prac_stim_keyResp.keys,prac_stim_keyResp.started,prac_stim_keyResp.stopped,accuracy,prac_stim_keyResp.rt,prac_blockFeed_text.started,prac_blockFeed_text.stopped,prac_pressContinue.started,prac_pressContinue.stopped,prac_blockFeed_keyResp.keys,prac_blockFeed_keyResp.rt,prac_blockFeed_keyResp.started,prac_blockFeed_keyResp.stopped,task_blockText.started,task_blockText.stopped,task_blockReminders_keyResp.keys,task_blockReminders_keyResp.rt,task_blockReminders_keyResp.started,task_blockReminders_keyResp.stopped,id,cb,friendly,date,expName,psychopyVersion,frameRate,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-WF-036-023-N.jpg,"[0.03, 0.03]",0,0,0,0,0,10,10,6,,,,,,,,,,,,,,,,,,,1.6623246492985972,43.749233872999866,43.749233872999866,43.749233872999866,43.95765630599999,43.749233872999866,43.95765630599999,['8'],43.749233872999866,43.749233872999866,1,[0.522832644999653],,,,,,,,,,,,,,,,A,A,2022_May_24_1549,face_flanker_v1,2021.2.3,59.47778044859892,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-MM-306-010-N.jpg,"[0.03, 0.03]",0,0,0,0,0,11,11,15,,,,,,,,,,,,,,,,,,,1.8296593186372745,45.65397532499992,45.65397532499992,45.65397532499992,45.857553785000164,45.65397532499992,45.857553785000164,['8'],45.65397532499992,45.65397532499992,1,[0.45094876999974076],,,,,,,,,,,,,,,,A,A,2022_May_24_1549,face_flanker_v1,2021.2.3,59.47778044859892,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-WF-008-002-N.jpg,"[0.03, 0.03]",0,0,0,0,0,12,12,19,,,,,,,,,,,,,,,,,,,1.9799599198396793,47.696638684999925,47.696638684999925,47.696638684999925,47.90770748700015,47.696638684999925,47.90770748700015,['8'],47.696638684999925,47.696638684999925,1,[0.5663231460002862],,,,,,,,,,,,,,,,A,A,2022_May_24_1549,face_flanker_v1,2021.2.3,59.47778044859892,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-IF-634-382-N.jpg,"[0.03, 0.03]",0,0,0,0,0,13,13,9,,,,,,,,,,,,,,,,,,,1.625250501002004,49.91918376600006,49.91918376600006,49.91918376600006,50.12219113399988,49.91918376600006,50.12219113399988,['1'],49.91918376600006,49.91918376600006,1,[0.6629833289998714],,,,,,,,,,,,,,,,A,A,2022_May_24_1549,face_flanker_v1,2021.2.3,59.47778044859892,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-IM-674-281-N.jpg,"[0.03, 0.03]",0,0,0,0,0,14,14,12,,,,,,,,,,,,,,,,,,,1.8557114228456912,51.81833809700038,51.81833809700038,51.81833809700038,52.02376278100019,51.81833809700038,52.02376278100019,['8'],51.81833809700038,51.81833809700038,1,[0.6106220340006985],,,,,,,,,,,,,,,,A,A,2022_May_24_1549,face_flanker_v1,2021.2.3,59.47778044859892,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-BF-212-315-N.jpg,"[0.03, 0.03]",0,0,0,0,0,15,15,13,,,,,,,,,,,,,,,,,,,1.6322645290581164,53.88796136699966,53.88796136699966,53.88796136699966,54.090778623000006,53.88796136699966,54.090778623000006,['1'],53.88796136699966,53.88796136699966,0,[0.5162030029996458],,,,,,,,,,,,,,,,A,A,2022_May_24_1549,face_flanker_v1,2021.2.3,59.47778044859892,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-IM-671-601-N.jpg,"[0.03, 0.03]",0,0,0,0,0,16,16,18,,,,,,,,,,,,,,,,,,,1.74749498997996,55.74003168600029,55.74003168600029,55.74003168600029,55.94022716099971,55.74003168600029,55.94022716099971,['8'],55.74003168600029,55.74003168600029,1,[0.8079694349999045],,,,,,,,,,,,,,,,A,A,2022_May_24_1549,face_flanker_v1,2021.2.3,59.47778044859892,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-BM-041-035-N.jpg,"[0.03, 0.03]",0,0,0,0,0,17,17,4,,,,,,,,,,,,,,,,,,,1.8517034068136273,57.70347190400025,57.70347190400025,57.70347190400025,57.90645770900028,57.70347190400025,57.90645770900028,['1'],57.70347190400025,57.70347190400025,1,[0.31139078000069276],,,,,,,,,,,,,,,,A,A,2022_May_24_1549,face_flanker_v1,2021.2.3,59.47778044859892,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-BF-014-002-N.jpg,"[0.03, 0.03]",0,0,0,0,0,18,18,5,,,,,,,,,,,,,,,,,,,1.571142284569138,59.77205688899994,59.77205688899994,59.77205688899994,59.97212731299987,59.77205688899994,59.97212731299987,['8'],59.77205688899994,59.77205688899994,0,[0.49579888399966876],,,,,,,,,,,,,,,,A,A,2022_May_24_1549,face_flanker_v1,2021.2.3,59.47778044859892,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-AM-243-212-N.jpg,"[0.03, 0.03]",0,0,0,0,0,19,19,11,,,,,,,,,,,,,,,,,,,1.9919839679358717,61.566872837999654,61.566872837999654,61.566872837999654,61.773224513999594,61.566872837999654,61.773224513999594,['8'],61.566872837999654,61.566872837999654,1,[1.5221565370002281],,,,,,,,,,,,,,,,A,A,2022_May_24_1549,face_flanker_v1,2021.2.3,59.47778044859892,
a_halfV_trialTable_practice.csv,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.58065643400005,None,63.58065643400005,None,8,1.0024428110000372,63.58065643400005,None,,,,,,,,A,A,2022_May_24_1549,face_flanker_v1,2021.2.3,59.47778044859892,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.3912483260001,None,1.8997995991983967,,,,,,,,,,,,,,,,,,,,64.64598647799994,None,8,0.7109972609996476,64.64598647799994,None,,,,,,,,
