whichBlock,middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL,straightFace,imageSize,whichSurpriseBlock,instructsurpA1,instructsurpA2,newKey,taskTextSource,surpriseFaces,new,FriendlyKey,error_commKey,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,task_block_loop.thisRepN,task_block_loop.thisTrialN,task_block_loop.thisN,task_block_loop.thisIndex,task_trial_loop.thisRepN,task_trial_loop.thisTrialN,task_trial_loop.thisN,task_trial_loop.thisIndex,surprise_block_loop.thisRepN,surprise_block_loop.thisTrialN,surprise_block_loop.thisN,surprise_block_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,friendly_block_loop.thisRepN,friendly_block_loop.thisTrialN,friendly_block_loop.thisN,friendly_block_loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,errorComm_block_loop.thisRepN,errorComm_block_loop.thisTrialN,errorComm_block_loop.thisN,errorComm_block_loop.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,prac_blockText.started,prac_blockText.stopped,prac_reminder_text.started,prac_reminder_text.stopped,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,prac_reminder_keyResp.started,prac_reminder_keyResp.stopped,initFixation_img.started,initFixation_img.stopped,ISI,bigFace.started,bigFace.stopped,cover_background_2.started,cover_background_2.stopped,prac_centerImg.started,prac_centerImg.stopped,prac_stim_keyResp.keys,prac_stim_keyResp.rt,prac_stim_keyResp.started,prac_stim_keyResp.stopped,accuracy,prac_blockFeed_text.started,prac_blockFeed_text.stopped,prac_pressContinue.started,prac_pressContinue.stopped,prac_blockFeed_keyResp.keys,prac_blockFeed_keyResp.rt,prac_blockFeed_keyResp.started,prac_blockFeed_keyResp.stopped,task_blockText.started,task_blockText.stopped,task_blockReminders_keyResp.keys,task_blockReminders_keyResp.rt,task_blockReminders_keyResp.started,task_blockReminders_keyResp.stopped,bigFace_2.started,bigFace_2.stopped,cover_background.started,cover_background.stopped,task_centerImg.started,task_centerImg.stopped,task_fixImg.started,task_fixImg.stopped,task1_stim_keyResp.keys,task1_stim_keyResp.rt,task1_stim_keyResp.started,task1_stim_keyResp.stopped,blockFeedCat,task_blockFeed_text.started,task_blockFeed_text.stopped,task_blockFeed_keyResp.keys,task_blockFeed_keyResp.rt,task_blockFeed_keyResp.started,task_blockFeed_keyResp.stopped,fix.started,fix.stopped,errorNumbers_text_2.started,errorNumbers_text_2.stopped,textbox_2.text,textbox_2.started,textbox_2.stopped,errorN_key_resp_2.keys,errorN_key_resp_2.rt,errorN_key_resp_2.started,errorN_key_resp_2.stopped,instruct_surprise1.started,instruct_surprise1.stopped,instruct_surp1_key_resp.keys,instruct_surp1_key_resp.rt,instructMainTask_text.started,instructMainTask_text.stopped,instructMainTask_keyResp.keys,instructMainTask_keyResp.rt,instructMainTask_keyResp.started,instructMainTask_keyResp.stopped,stimulus.started,stimulus.stopped,instructsurpA1_right.started,instructsurpA1_right.stopped,instructsurpA2_left.started,instructsurpA2_left.stopped,surprise_key_resp.keys,surprise_key_resp.rt,surprise_key_resp.started,surprise_key_resp.stopped,instruct_surprise1_2.started,instruct_surprise1_2.stopped,instruct_surp1_key_resp_2.keys,instruct_surp1_key_resp_2.rt,instructMainTask_text_2.started,instructMainTask_text_2.stopped,instructMainTask_keyResp_2.keys,instructMainTask_keyResp_2.rt,instructMainTask_keyResp_2.started,instructMainTask_keyResp_2.stopped,stimulus_2.started,stimulus_2.stopped,instructsurpA1_right_2.started,instructsurpA1_right_2.stopped,instructsurpA2_left_2.started,instructsurpA2_left_2.stopped,friendly_key_resp.keys,friendly_key_resp.rt,friendly_key_resp.started,friendly_key_resp.stopped,instruct_surprise1_3.started,instruct_surprise1_3.stopped,instruct_surp1_key_resp_3.keys,instruct_surp1_key_resp_3.rt,instructMainTask_text_3.started,instructMainTask_text_3.stopped,instructMainTask_keyResp_3.keys,instructMainTask_keyResp_3.rt,instructMainTask_keyResp_3.started,instructMainTask_keyResp_3.stopped,stimulus_3.started,stimulus_3.stopped,instructsurpA1_right_3.started,instructsurpA1_right_3.stopped,instructsurpA2_left_3.started,instructsurpA2_left_3.stopped,friendly_key_resp_2.keys,friendly_key_resp_2.rt,friendly_key_resp_2.started,friendly_key_resp_2.stopped,finishMessage_text.started,finishMessage_text.stopped,id,cb,friendly,errorComm,date,expName,psychopyVersion,frameRate,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-WF-008-002-N.jpg,"[0.03, 0.03]",,,,,,,,,,0,0,0,0,0,10,10,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5050100200400802,57.45690579999973,57.45690579999973,57.45690579999973,57.660746699999436,57.45690579999973,57.660746699999436,['8'],[0.6591837000014493],57.45690579999973,57.45690579999973,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,A,B,A,2022-05-30_17h21.21.521,face_flanker_v1,2022.1.3,59.943090030510966,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-BF-014-002-N.jpg,"[0.03, 0.03]",,,,,,,,,,0,0,0,0,0,11,11,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6342685370741483,59.088774800000465,59.088774800000465,59.088774800000465,59.295810800000254,59.088774800000465,59.295810800000254,['1'],[0.4183026999999129],59.088774800000465,59.088774800000465,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,A,B,A,2022-05-30_17h21.21.521,face_flanker_v1,2022.1.3,59.943090030510966,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-MF-342-022-N.jpg,"[0.03, 0.03]",,,,,,,,,,0,0,0,0,0,12,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5230460921843687,60.85980720000043,60.85980720000043,60.85980720000043,61.06422249999923,60.85980720000043,61.06422249999923,['1'],[0.48868170000059763],60.85980720000043,60.85980720000043,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,A,B,A,2022-05-30_17h21.21.521,face_flanker_v1,2022.1.3,59.943090030510966,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-AM-235-241-N.jpg,"[0.03, 0.03]",,,,,,,,,,0,0,0,0,0,13,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7404809619238477,62.50621789999968,62.50621789999968,62.50621789999968,62.715713499999765,62.50621789999968,62.715713499999765,['8'],[0.47357730000112497],62.50621789999968,62.50621789999968,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,A,B,A,2022-05-30_17h21.21.521,face_flanker_v1,2022.1.3,59.943090030510966,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-WM-228-065-N.jpg,"[0.03, 0.03]",,,,,,,,,,0,0,0,0,0,14,14,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6352705410821644,64.3971160000001,64.3971160000001,64.3971160000001,64.60106379999888,64.3971160000001,64.60106379999888,['8'],[0.4391406000013376],64.3971160000001,64.3971160000001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,A,B,A,2022-05-30_17h21.21.521,face_flanker_v1,2022.1.3,59.943090030510966,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-BF-228-212-N.jpg,"[0.03, 0.03]",,,,,,,,,,0,0,0,0,0,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7705410821643286,66.16869450000013,66.16869450000013,66.16869450000013,66.36943129999963,66.16869450000013,66.36943129999963,['1'],[0.3792076999998244],66.16869450000013,66.16869450000013,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,A,B,A,2022-05-30_17h21.21.521,face_flanker_v1,2022.1.3,59.943090030510966,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-IM-674-281-N.jpg,"[0.03, 0.03]",,,,,,,,,,0,0,0,0,0,16,16,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.933867735470942,68.08552070000042,68.08552070000042,68.08552070000042,68.28795549999995,68.08552070000042,68.28795549999995,['8'],[0.3980851000014809],68.08552070000042,68.08552070000042,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,A,B,A,2022-05-30_17h21.21.521,face_flanker_v1,2022.1.3,59.943090030510966,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-IM-627-178-N.jpg,"[0.03, 0.03]",,,,,,,,,,0,0,0,0,0,17,17,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6182364729458918,70.15163709999979,70.15163709999979,70.15163709999979,70.35668590000023,70.15163709999979,70.35668590000023,['1'],[0.5721362000003865],70.15163709999979,70.15163709999979,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,A,B,A,2022-05-30_17h21.21.521,face_flanker_v1,2022.1.3,59.943090030510966,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-BF-212-315-N.jpg,"[0.03, 0.03]",,,,,,,,,,0,0,0,0,0,18,18,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9829659318637274,71.90284239999892,71.90284239999892,71.90284239999892,72.1085495999996,71.90284239999892,72.1085495999996,['8'],[0.43637959999978193],71.90284239999892,71.90284239999892,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,A,B,A,2022-05-30_17h21.21.521,face_flanker_v1,2022.1.3,59.943090030510966,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-AM-243-212-N.jpg,"[0.03, 0.03]",,,,,,,,,,0,0,0,0,0,19,19,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5681362725450902,74.01438880000023,74.01438880000023,74.01438880000023,74.22720990000016,74.01438880000023,74.22720990000016,['8'],[0.5484632999996393],74.01438880000023,74.01438880000023,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,A,B,A,2022-05-30_17h21.21.521,face_flanker_v1,2022.1.3,59.943090030510966,
