whichBlock,middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL,straightFace,imageSize,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,prac_blockText.started,prac_blockText.stopped,prac_reminder_text.started,prac_reminder_text.stopped,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,prac_reminder_keyResp.started,prac_reminder_keyResp.stopped,initFixation_img.started,initFixation_img.stopped,ISI,bigFace.started,bigFace.stopped,cover_background_2.started,cover_background_2.stopped,prac_centerImg.started,prac_centerImg.stopped,prac_stim_keyResp.keys,prac_stim_keyResp.started,prac_stim_keyResp.stopped,accuracy,prac_blockFeed_text.started,prac_blockFeed_text.stopped,prac_pressContinue.started,prac_pressContinue.stopped,prac_blockFeed_keyResp.keys,prac_blockFeed_keyResp.rt,prac_blockFeed_keyResp.started,prac_blockFeed_keyResp.stopped,id,cb,friendly,errorComm,date,expName,psychopyVersion,frameRate,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-BM-041-035-N.jpg,"[0.03, 0.03]",0,0,0,0,0,10,10,4,,,,,,,,,,,1.8356713426853708,105.35011450000457,105.35011450000457,105.35011450000457,105.55622440000298,105.35011450000457,105.55622440000298,None,105.35011450000457,105.35011450000457,0,,,,,,,,,999,A,A,A,2022-05-31_11h24.17.174,face_flanker_v1,2022.1.3,59.85762265819145,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-IF-634-382-N.jpg,"[0.03, 0.03]",0,0,0,0,0,11,11,9,,,,,,,,,,,1.9879759519038076,107.34572979999939,107.34572979999939,107.34572979999939,107.5583842000051,107.34572979999939,107.5583842000051,None,107.34572979999939,107.34572979999939,0,,,,,,,,,999,A,A,A,2022-05-31_11h24.17.174,face_flanker_v1,2022.1.3,59.85762265819145,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-IM-674-281-N.jpg,"[0.03, 0.03]",0,0,0,0,0,12,12,12,,,,,,,,,,,1.7254509018036073,109.46906529999978,109.46906529999978,109.46906529999978,109.67700920000789,109.46906529999978,109.67700920000789,None,109.46906529999978,109.46906529999978,0,,,,,,,,,999,A,A,A,2022-05-31_11h24.17.174,face_flanker_v1,2022.1.3,59.85762265819145,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-WF-223-133-N.jpg,"[0.03, 0.03]",0,0,0,0,0,13,13,8,,,,,,,,,,,1.8376753507014028,111.30528820000472,111.30528820000472,111.30528820000472,111.51214520000212,111.30528820000472,111.51214520000212,None,111.30528820000472,111.30528820000472,0,,,,,,,,,999,A,A,A,2022-05-31_11h24.17.174,face_flanker_v1,2022.1.3,59.85762265819145,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-AM-235-241-N.jpg,"[0.03, 0.03]",0,0,0,0,0,14,14,0,,,,,,,,,,,1.503006012024048,113.25470610000775,113.25470610000775,113.25470610000775,113.46412390000478,113.25470610000775,113.46412390000478,None,113.25470610000775,113.25470610000775,0,,,,,,,,,999,A,A,A,2022-05-31_11h24.17.174,face_flanker_v1,2022.1.3,59.85762265819145,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-AM-243-212-N.jpg,"[0.03, 0.03]",0,0,0,0,0,15,15,11,,,,,,,,,,,1.870741482965932,114.87235730000248,114.87235730000248,114.87235730000248,115.08236710001074,114.87235730000248,115.08236710001074,None,114.87235730000248,114.87235730000248,0,,,,,,,,,999,A,A,A,2022-05-31_11h24.17.174,face_flanker_v1,2022.1.3,59.85762265819145,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-MF-342-022-N.jpg,"[0.03, 0.03]",0,0,0,0,0,16,16,2,,,,,,,,,,,1.8967935871743486,116.86588740001025,116.86588740001025,116.86588740001025,117.06796200000099,116.86588740001025,117.06796200000099,None,116.86588740001025,116.86588740001025,0,,,,,,,,,999,A,A,A,2022-05-31_11h24.17.174,face_flanker_v1,2022.1.3,59.85762265819145,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-BF-014-002-N.jpg,"[0.03, 0.03]",0,0,0,0,0,17,17,5,,,,,,,,,,,1.8156312625250501,118.89623090000532,118.89623090000532,118.89623090000532,119.10307820000162,118.89623090000532,119.10307820000162,None,118.89623090000532,118.89623090000532,0,,,,,,,,,999,A,A,A,2022-05-31_11h24.17.174,face_flanker_v1,2022.1.3,59.85762265819145,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-BF-228-212-N.jpg,"[0.03, 0.03]",0,0,0,0,0,18,18,3,,,,,,,,,,,1.687374749498998,120.86179180000909,120.86179180000909,120.86179180000909,121.07190989999799,120.86179180000909,121.07190989999799,None,120.86179180000909,120.86179180000909,0,,,,,,,,,999,A,A,A,2022-05-31_11h24.17.174,face_flanker_v1,2022.1.3,59.85762265819145,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-MF-328-020-N.jpg,"[0.03, 0.03]",0,0,0,0,0,19,19,1,,,,,,,,,,,1.6623246492985972,122.67378290000488,122.67378290000488,122.67378290000488,122.87374340000679,122.67378290000488,122.87374340000679,None,122.67378290000488,122.67378290000488,0,,,,,,,,,999,A,A,A,2022-05-31_11h24.17.174,face_flanker_v1,2022.1.3,59.85762265819145,
