whichBlock,middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL,straightFace,imageSize,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,task_block_loop.thisRepN,task_block_loop.thisTrialN,task_block_loop.thisN,task_block_loop.thisIndex,task_trial_loop.thisRepN,task_trial_loop.thisTrialN,task_trial_loop.thisN,task_trial_loop.thisIndex,prac_blockText.started,prac_blockText.stopped,prac_reminder_text.started,prac_reminder_text.stopped,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,prac_reminder_keyResp.started,prac_reminder_keyResp.stopped,initFixation_img.started,initFixation_img.stopped,ISI,bigFace.started,bigFace.stopped,cover_background_2.started,cover_background_2.stopped,prac_centerImg.started,prac_centerImg.stopped,prac_stim_keyResp.keys,prac_stim_keyResp.rt,prac_stim_keyResp.started,prac_stim_keyResp.stopped,accuracy,prac_blockFeed_text.started,prac_blockFeed_text.stopped,prac_pressContinue.started,prac_pressContinue.stopped,prac_blockFeed_keyResp.keys,prac_blockFeed_keyResp.rt,prac_blockFeed_keyResp.started,prac_blockFeed_keyResp.stopped,task_blockText.started,task_blockText.stopped,task_blockReminders_keyResp.keys,task_blockReminders_keyResp.rt,task_blockReminders_keyResp.started,task_blockReminders_keyResp.stopped,bigFace_2.started,bigFace_2.stopped,cover_background.started,cover_background.stopped,task_centerImg.started,task_centerImg.stopped,task_fixImg.started,task_fixImg.stopped,task1_stim_keyResp.keys,task1_stim_keyResp.rt,task1_stim_keyResp.started,task1_stim_keyResp.stopped,blockFeedCat,task_blockFeed_text.started,task_blockFeed_text.stopped,task_blockFeed_keyResp.keys,task_blockFeed_keyResp.rt,task_blockFeed_keyResp.started,task_blockFeed_keyResp.stopped,id,cb,friendly,errorComm,date,expName,psychopyVersion,frameRate,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-BF-014-002-N.jpg,"[0.03, 0.03]",0,0,0,0,0,10,10,5,,,,,,,,,,,,,,,,,,,1.8937875751503006,58.00876270000117,58.00876270000117,58.00876270000117,58.21662230000038,58.00876270000117,58.21662230000038,['1'],[0.4831999999987602],58.00876270000117,58.00876270000117,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,A,B,B,2022-05-27_16h22.24.539,face_flanker_v1,2022.1.3,59.97371951606941,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-WM-228-065-N.jpg,"[0.03, 0.03]",0,0,0,0,0,11,11,16,,,,,,,,,,,,,,,,,,,1.933867735470942,60.024811500001306,60.024811500001306,60.024811500001306,60.235330700001214,60.024811500001306,60.235330700001214,['8'],[0.8034683999994741],60.024811500001306,60.024811500001306,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,A,B,B,2022-05-27_16h22.24.539,face_flanker_v1,2022.1.3,59.97371951606941,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-LM-226-175-N.jpg,"[0.03, 0.03]",0,0,0,0,0,12,12,17,,,,,,,,,,,,,,,,,,,1.595190380761523,62.08846840000115,62.08846840000115,62.08846840000115,62.303911700000754,62.08846840000115,62.303911700000754,['1'],[0.6278451999987738],62.08846840000115,62.08846840000115,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,A,B,B,2022-05-27_16h22.24.539,face_flanker_v1,2022.1.3,59.97371951606941,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-BM-041-035-N.jpg,"[0.03, 0.03]",0,0,0,0,0,13,13,4,,,,,,,,,,,,,,,,,,,1.9539078156312626,63.80407600000035,63.80407600000035,63.80407600000035,64.00548880000133,63.80407600000035,64.00548880000133,['1'],[0.6078873999995267],63.80407600000035,63.80407600000035,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,A,B,B,2022-05-27_16h22.24.539,face_flanker_v1,2022.1.3,59.97371951606941,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-WM-242-011-N.jpg,"[0.03, 0.03]",0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,1.6973947895791581,65.88955270000042,65.88955270000042,65.88955270000042,66.09105970000019,65.88955270000042,66.09105970000019,['1'],[0.4263403999993898],65.88955270000042,65.88955270000042,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,A,B,B,2022-05-27_16h22.24.539,face_flanker_v1,2022.1.3,59.97371951606941,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-BF-213-188-N.jpg,"[0.03, 0.03]",0,0,0,0,0,15,15,10,,,,,,,,,,,,,,,,,,,1.540080160320641,67.71896340000058,67.71896340000058,67.71896340000058,67.9264647,67.71896340000058,67.9264647,['1'],[0.35720369999944523],67.71896340000058,67.71896340000058,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,A,B,B,2022-05-27_16h22.24.539,face_flanker_v1,2022.1.3,59.97371951606941,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-WF-008-002-N.jpg,"[0.03, 0.03]",0,0,0,0,0,16,16,19,,,,,,,,,,,,,,,,,,,1.6022044088176353,69.38975190000019,69.38975190000019,69.38975190000019,69.59452760000022,69.38975190000019,69.59452760000022,['8'],[0.510808699998961],69.38975190000019,69.38975190000019,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,A,B,B,2022-05-27_16h22.24.539,face_flanker_v1,2022.1.3,59.97371951606941,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-WF-036-023-N.jpg,"[0.03, 0.03]",0,0,0,0,0,17,17,6,,,,,,,,,,,,,,,,,,,1.5671342685370742,71.11880700000074,71.11880700000074,71.11880700000074,71.32956720000038,71.11880700000074,71.32956720000038,['8'],[0.5414106999996875],71.11880700000074,71.11880700000074,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,A,B,B,2022-05-27_16h22.24.539,face_flanker_v1,2022.1.3,59.97371951606941,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-MF-328-020-N.jpg,"[0.03, 0.03]",0,0,0,0,0,18,18,1,,,,,,,,,,,,,,,,,,,1.8687374749498997,72.82273370000075,72.82273370000075,72.82273370000075,73.03143869999985,72.82273370000075,73.03143869999985,['8'],[0.34111639999900945],72.82273370000075,72.82273370000075,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,A,B,B,2022-05-27_16h22.24.539,face_flanker_v1,2022.1.3,59.97371951606941,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-IM-671-601-N.jpg,"[0.03, 0.03]",0,0,0,0,0,19,19,18,,,,,,,,,,,,,,,,,,,1.9809619238476952,74.82695820000117,74.82695820000117,74.82695820000117,75.03337269999975,74.82695820000117,75.03337269999975,['1'],[0.30478799999946204],74.82695820000117,74.82695820000117,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,A,B,B,2022-05-27_16h22.24.539,face_flanker_v1,2022.1.3,59.97371951606941,
