whichBlock,middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL,straightFace,imageSize,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,prac_blockText.started,prac_blockText.stopped,prac_reminder_text.started,prac_reminder_text.stopped,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,prac_reminder_keyResp.started,prac_reminder_keyResp.stopped,initFixation_img.started,initFixation_img.stopped,ISI,bigFace.started,bigFace.stopped,cover_background_2.started,cover_background_2.stopped,prac_centerImg.started,prac_centerImg.stopped,prac_stim_keyResp.keys,prac_stim_keyResp.started,prac_stim_keyResp.stopped,accuracy,prac_blockFeed_text.started,prac_blockFeed_text.stopped,prac_pressContinue.started,prac_pressContinue.stopped,prac_blockFeed_keyResp.keys,prac_blockFeed_keyResp.rt,prac_blockFeed_keyResp.started,prac_blockFeed_keyResp.stopped,id,cb,friendly,date,expName,psychopyVersion,frameRate,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-BM-019-002-N.jpg,"[0.03, 0.03]",0,0,0,0,0,10,10,7,,,,,,,,,,,1.723446893787575,47.39443636499345,47.39443636499345,47.39443636499345,47.60560912801884,47.39443636499345,47.60560912801884,None,47.39443636499345,47.39443636499345,0,,,,,,,,,001,A,A,2022_May_19_1059,face_flanker_v1,2021.2.3,59.70088626720431,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-WF-238-023-N.jpg,"[0.03, 0.03]",0,0,0,0,0,11,11,16,,,,,,,,,,,1.9589178356713426,49.31858810200356,49.31858810200356,49.31858810200356,49.52143043099204,49.31858810200356,49.52143043099204,None,49.31858810200356,49.31858810200356,0,,,,,,,,,001,A,A,2022_May_19_1059,face_flanker_v1,2021.2.3,59.70088626720431,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-WM-218-074-N.jpg,"[0.03, 0.03]",0,0,0,0,0,12,12,12,,,,,,,,,,,1.688376753507014,51.46426496899221,51.46426496899221,51.46426496899221,51.671075941005256,51.46426496899221,51.671075941005256,None,51.46426496899221,51.46426496899221,0,,,,,,,,,001,A,A,2022_May_19_1059,face_flanker_v1,2021.2.3,59.70088626720431,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-WF-029-002-N.jpg,"[0.03, 0.03]",0,0,0,0,0,13,13,6,,,,,,,,,,,1.5430861723446894,53.35609891201602,53.35609891201602,53.35609891201602,53.57042090501636,53.35609891201602,53.57042090501636,None,53.35609891201602,53.35609891201602,0,,,,,,,,,001,A,A,2022_May_19_1059,face_flanker_v1,2021.2.3,59.70088626720431,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-WM-018-002-N.jpg,"[0.03, 0.03]",0,0,0,0,0,14,14,2,,,,,,,,,,,1.5410821643286572,55.07696127900272,55.07696127900272,55.07696127900272,55.286648706009146,55.07696127900272,55.286648706009146,None,55.07696127900272,55.07696127900272,0,,,,,,,,,001,A,A,2022_May_19_1059,face_flanker_v1,2021.2.3,59.70088626720431,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-AF-253-130-N.jpg,"[0.03, 0.03]",0,0,0,0,0,15,15,1,,,,,,,,,,,1.6503006012024048,56.788033609016566,56.788033609016566,56.788033609016566,57.00288442801684,56.788033609016566,57.00288442801684,None,56.788033609016566,56.788033609016566,0,,,,,,,,,001,A,A,2022_May_19_1059,face_flanker_v1,2021.2.3,59.70088626720431,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-MF-337-026-N.jpg,"[0.03, 0.03]",0,0,0,0,0,16,16,14,,,,,,,,,,,1.6533066132264531,58.64769372600131,58.64769372600131,58.64769372600131,58.852790962992,58.64769372600131,58.852790962992,None,58.64769372600131,58.64769372600131,0,,,,,,,,,001,A,A,2022_May_19_1059,face_flanker_v1,2021.2.3,59.70088626720431,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-IF-677-452-1-N.jpg,"[0.03, 0.03]",0,0,0,0,0,17,17,13,,,,,,,,,,,1.5871743486973948,60.48592190400814,60.48592190400814,60.48592190400814,60.685490347997984,60.48592190400814,60.685490347997984,None,60.48592190400814,60.48592190400814,0,,,,,,,,,001,A,A,2022_May_19_1059,face_flanker_v1,2021.2.3,59.70088626720431,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-IM-667-369-N.jpg,"[0.03, 0.03]",0,0,0,0,0,18,18,5,,,,,,,,,,,1.7605210420841684,62.28427303599892,62.28427303599892,62.28427303599892,62.48454972100444,62.28427303599892,62.48454972100444,None,62.28427303599892,62.28427303599892,0,,,,,,,,,001,A,A,2022_May_19_1059,face_flanker_v1,2021.2.3,59.70088626720431,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.036, 0]","[-0.036, 0]",img/neutralC/CFD-WM-254-152-N.jpg,"[0.03, 0.03]",0,0,0,0,0,19,19,0,,,,,,,,,,,1.840681362725451,64.25854363001417,64.25854363001417,64.25854363001417,64.4676882729982,64.25854363001417,64.4676882729982,None,64.25854363001417,64.25854363001417,0,,,,,,,,,001,A,A,2022_May_19_1059,face_flanker_v1,2021.2.3,59.70088626720431,
