surpriseFaces,new
img/neutralC/CFD-WF-245-084-N.jpg,0
img/neutralC/CFD-WM-006-002-N.jpg,0
img/neutralC/CFD-AF-234-208-N.jpg,0
img/neutralC/CFD-LF-224-176-N.jpg,0
img/neutralC/CFD-AF-247-278-N.jpg,1
img/neutralC/CFD-BM-227-191-N.jpg,0
img/neutralC/CFD-WM-025-002-N.jpg,0
img/neutralC/CFD-AM-247-165-N.jpg,1
img/neutralC/CFD-WF-228-196-N.jpg,0
img/neutralC/CFD-BM-207-024-N.jpg,0
img/neutralC/CFD-IM-680-369-N.jpg,1
img/neutralC/CFD-AM-223-138-N.jpg,1
img/neutralC/CFD-MM-321-021-N.jpg,0
img/neutralC/CFD-IM-604-014-N.jpg,0
img/neutralC/CFD-LM-202-072-N.jpg,1
img/neutralC/CFD-IM-659-359-N.jpg,0
img/neutralC/CFD-AF-206-079-N.jpg,1
img/neutralC/CFD-LF-205-100-N.jpg,1
img/neutralC/CFD-WM-002-009-N.jpg,0
img/neutralC/CFD-BF-015-004-N.jpg,1
img/neutralC/CFD-IM-721-341-N.jpg,1
img/neutralC/CFD-WM-011-002-N.jpg,0
img/neutralC/CFD-WF-241-210-N.jpg,0
img/neutralC/CFD-WF-210-086-N.jpg,0
img/neutralC/CFD-BF-041-001-N.jpg,0
img/neutralC/CFD-IF-672-305-N.jpg,0
img/neutralC/CFD-WF-029-002-N.jpg,0
img/neutralC/CFD-AM-242-176-N.jpg,1
img/neutralC/CFD-IF-625-225-N.jpg,0
img/neutralC/CFD-BM-043-071-N.jpg,1
img/neutralC/CFD-LM-244-068-N.jpg,1
img/neutralC/CFD-BM-015-015-N.jpg,0
img/neutralC/CFD-WM-009-002-N.jpg,0
img/neutralC/CFD-MF-343-001-N.jpg,0
img/neutralC/CFD-BF-018-039-N.jpg,0
img/neutralC/CFD-AM-226-234-N.jpg,1
img/neutralC/CFD-AM-205-153-N.jpg,1
img/neutralC/CFD-BF-204-189-N.jpg,1
img/neutralC/CFD-AF-202-122-N.jpg,0
img/neutralC/CFD-WF-037-029-N.jpg,1
img/neutralC/CFD-BF-253-202-N.jpg,0
img/neutralC/CFD-BF-002-001-N.jpg,1
img/neutralC/CFD-BM-253-004-N.jpg,0
img/neutralC/CFD-AM-240-191-N.jpg,0
img/neutralC/CFD-IF-730-410-N.jpg,1
img/neutralC/CFD-AF-215-70-N.jpg,0
