whichBlock,middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL,straightFace,imageSize,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,first_block_loop.thisRepN,first_block_loop.thisTrialN,first_block_loop.thisN,first_block_loop.thisIndex,firstTrial_loop.thisRepN,firstTrial_loop.thisTrialN,firstTrial_loop.thisN,firstTrial_loop.thisIndex,prac_blockText.started,prac_blockText.stopped,prac_reminder_text.started,prac_reminder_text.stopped,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,prac_reminder_keyResp.started,prac_reminder_keyResp.stopped,initFixation_img.started,initFixation_img.stopped,ISI,prac_centerImg.started,prac_centerImg.stopped,prac_stim_keyResp.keys,prac_stim_keyResp.rt,prac_stim_keyResp.started,prac_stim_keyResp.stopped,accuracy,prac_blockFeed_text.started,prac_blockFeed_text.stopped,prac_pressContinue.started,prac_pressContinue.stopped,prac_blockFeed_keyResp.keys,prac_blockFeed_keyResp.rt,prac_blockFeed_keyResp.started,prac_blockFeed_keyResp.stopped,key_resp_counterbalance1.keys,key_resp_counterbalance1.rt,key_resp_counterbalance1.started,key_resp_counterbalance1.stopped,firstT_text1.started,firstT_text1.stopped,firstT_key.keys,firstT_key.rt,firstT_key.started,firstT_key.stopped,bigFace_2.started,bigFace_2.stopped,cover_background.started,cover_background.stopped,task_centerImg_3.started,task_centerImg_3.stopped,task_fixImg_3.started,task_fixImg_3.stopped,first_task_stim_keyResp.keys,first_task_stim_keyResp.started,first_task_stim_keyResp.stopped,first_task_stim_keyResp.rt,blockFeedCat,id,date,expName,psychopyVersion,frameRate,
trialTable_practice.csv,img/renders/face704_45.png,img/renders/face704_45.png,img/renders/face704_45.png,5,1,right,"[0, 0]","[0.13, 0]","[-0.13, 0]",,,0,0,0,0,0,0,0,9,,,,,,,,,52.53682766400016,None,52.53682766400016,None,8,2.6110712500012596,52.53682766400016,None,55.1931035949965,None,1.7675350701402806,57.25521916299476,57.468623811000725,['8'],[0.5287419830056024],57.25521916299476,None,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1923,flanker-basic_v2,2021.2.3,60.08887095826747,
trialTable_practice.csv,img/renders/face602_-45.png,img/renders/face602_45.png,img/renders/face602_45.png,8,0,left,"[-0.058, 0]","[0.14, 0]","[-0.14, 0]",,,0,0,0,0,0,1,1,0,,,,,,,,,,,,,,,,,,,1.5501002004008018,59.061177805000625,59.267038573998434,['1'],[0.437662641001225],59.061177805000625,59.061177805000625,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1923,flanker-basic_v2,2021.2.3,60.08887095826747,
trialTable_practice.csv,img/renders/face586_-45.png,img/renders/face586_-45.png,img/renders/face586_-45.png,6,1,left,"[0, 0]","[0.13, 0]","[-0.13, 0]",,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,1.9669338677354709,60.64587524399394,60.85065912499704,['1'],[0.5331642899982398],60.64587524399394,60.64587524399394,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1923,flanker-basic_v2,2021.2.3,60.08887095826747,
trialTable_practice.csv,img/renders/face559_-45.png,img/renders/face559_45.png,img/renders/face559_45.png,8,0,left,"[-0.058, 0]","[0.14, 0]","[-0.14, 0]",,,0,0,0,0,0,3,3,14,,,,,,,,,,,,,,,,,,,1.842685370741483,62.64620835700043,62.85006210600113,['1'],[0.7610757290021866],62.64620835700043,62.64620835700043,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1923,flanker-basic_v2,2021.2.3,60.08887095826747,
trialTable_practice.csv,img/renders/face395_-45.png,img/renders/face395_-45.png,img/renders/face395_-45.png,6,1,left,"[0, 0]","[0.13, 0]","[-0.13, 0]",,,0,0,0,0,0,4,4,5,,,,,,,,,,,,,,,,,,,1.8727454909819639,64.52488455999992,64.73219409999729,['1'],[0.5430865949965664],64.52488455999992,64.52488455999992,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1923,flanker-basic_v2,2021.2.3,60.08887095826747,
trialTable_practice.csv,img/renders/face028_45.png,img/renders/face028_-45.png,img/renders/face028_-45.png,7,0,right,"[0.058, 0]","[0.14, 0]","[-0.14, 0]",,,0,0,0,0,0,5,5,17,,,,,,,,,,,,,,,,,,,1.7555110220440882,66.4269049200011,66.63282190899918,['8'],[0.660944693001511],66.4269049200011,66.4269049200011,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1923,flanker-basic_v2,2021.2.3,60.08887095826747,
trialTable_practice.csv,img/renders/face781_-45.png,img/renders/face781_45.png,img/renders/face781_45.png,8,0,left,"[-0.058, 0]","[0.14, 0]","[-0.14, 0]",,,0,0,0,0,0,6,6,1,,,,,,,,,,,,,,,,,,,1.6773547094188377,68.2140367259999,68.41572326299502,['1'],[0.4460235549995559],68.2140367259999,68.2140367259999,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1923,flanker-basic_v2,2021.2.3,60.08887095826747,
trialTable_practice.csv,img/renders/face351_45.png,img/renders/face351_-45.png,img/renders/face351_-45.png,7,0,right,"[0.058, 0]","[0.14, 0]","[-0.14, 0]",,,0,0,0,0,0,7,7,10,,,,,,,,,,,,,,,,,,,1.788577154308617,69.92470444599894,70.13144505999662,['8'],[0.627175517998694],69.92470444599894,69.92470444599894,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1923,flanker-basic_v2,2021.2.3,60.08887095826747,
trialTable_practice.csv,img/renders/face211_45.png,img/renders/face211_45.png,img/renders/face211_45.png,5,1,right,"[0, 0]","[0.13, 0]","[-0.13, 0]",,,0,0,0,0,0,8,8,4,,,,,,,,,,,,,,,,,,,1.8807615230460921,71.72384300799604,71.9294699039965,['8'],[0.5529817790011293],71.72384300799604,71.72384300799604,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1923,flanker-basic_v2,2021.2.3,60.08887095826747,
trialTable_practice.csv,img/renders/face040_45.png,img/renders/face040_-45.png,img/renders/face040_-45.png,7,0,right,"[0.058, 0]","[0.14, 0]","[-0.14, 0]",,,0,0,0,0,0,9,9,7,,,,,,,,,,,,,,,,,,,1.748496993987976,73.64981890099443,73.86438505199476,['8'],[0.6948858000032487],73.64981890099443,73.64981890099443,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2022_May_10_1923,flanker-basic_v2,2021.2.3,60.08887095826747,
