middleStim,rightStim1,rightStim2,leftStim1,leftStim2,stimNum,congruent,target,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,prac_blockText.started,prac_blockText.stopped,prac_reminder_text.started,prac_reminder_text.stopped,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,prac_reminder_keyResp.started,prac_reminder_keyResp.stopped,initFixation_img.started,initFixation_img.stopped,ISI,prac_centerImg.started,prac_centerImg.stopped,prac_rightImg1.started,prac_rightImg1.stopped,prac_rightImg2.started,prac_rightImg2.stopped,prac_leftImg1.started,prac_leftImg1.stopped,prac_leftImg2.started,prac_leftImg2.stopped,prac_fixImg.started,prac_fixImg.stopped,prac_stim_keyResp.keys,prac_stim_keyResp.started,prac_stim_keyResp.stopped,accuracy,prac_stim_keyResp.rt,id,date,expName,psychopyVersion,frameRate,
img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,0,0,0,0,0,0,0,0,16.827958500012755,None,16.827958500012755,None,8,0.06755440006963909,16.827958500012755,None,16.913009899901226,None,1.7024048096192383,18.9549304000102,19.15865490003489,18.9549304000102,19.15865490003489,18.9549304000102,19.15865490003489,18.9549304000102,19.15865490003489,18.9549304000102,19.15865490003489,18.9549304000102,None,None,18.9549304000102,None,0,,999,2022_Apr_12_1458,flanker-basic_v2,2021.2.3,238.36765827849575,
img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,0,0,0,0,0,1,1,1,,,,,,,,,,,1.5871743486973948,20.706218699924648,20.912409599870443,20.706218699924648,20.912409599870443,20.706218699924648,20.912409599870443,20.706218699924648,20.912409599870443,20.706218699924648,20.912409599870443,20.706218699924648,20.706218699924648,"['8', '1', '8']",20.706218699924648,20.706218699924648,0,"[0.30216089985333383, 0.8672911999747157, 1.2542853998020291]",999,2022_Apr_12_1458,flanker-basic_v2,2021.2.3,238.36765827849575,
,,,,,,,,,,,,,,,,,,,,,,,,,,1.5470941883767535,,,,,,,,,,,,,,,,,,,,,,,
