whichBlock,middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL,straightFace,imageSize,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,first_block_loop.thisRepN,first_block_loop.thisTrialN,first_block_loop.thisN,first_block_loop.thisIndex,firstTrial_loop.thisRepN,firstTrial_loop.thisTrialN,firstTrial_loop.thisN,firstTrial_loop.thisIndex,prac_blockText.started,prac_blockText.stopped,prac_reminder_text.started,prac_reminder_text.stopped,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,prac_reminder_keyResp.started,prac_reminder_keyResp.stopped,initFixation_img.started,initFixation_img.stopped,ISI,prac_centerImg.started,prac_centerImg.stopped,prac_stim_keyResp.keys,prac_stim_keyResp.rt,prac_stim_keyResp.started,prac_stim_keyResp.stopped,accuracy,prac_blockFeed_text.started,prac_blockFeed_text.stopped,prac_pressContinue.started,prac_pressContinue.stopped,prac_blockFeed_keyResp.keys,prac_blockFeed_keyResp.rt,prac_blockFeed_keyResp.started,prac_blockFeed_keyResp.stopped,key_resp_counterbalance1.keys,key_resp_counterbalance1.rt,key_resp_counterbalance1.started,key_resp_counterbalance1.stopped,firstT_text1.started,firstT_text1.stopped,firstT_key.keys,firstT_key.rt,firstT_key.started,firstT_key.stopped,bigFace_2.started,bigFace_2.stopped,cover_background.started,cover_background.stopped,task_centerImg_3.started,task_centerImg_3.stopped,task_fixImg_3.started,task_fixImg_3.stopped,first_task_stim_keyResp.keys,first_task_stim_keyResp.started,first_task_stim_keyResp.stopped,id,date,expName,psychopyVersion,frameRate,
trialTable_practice.csv,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.1755762640023,None,67.1755762640023,None,8,0.8322710819993517,67.1755762640023,None,,,,,,,,,,,,,,,,,,,,,,12,2022_May_11_1019,flanker-basic_v2,2021.2.3,60.20541835845648,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2.0749593099972117,68.04575773800025,None,,,,,,,,,,,,,,,,,,12,2022_May_11_1019,flanker-basic_v2,2021.2.3,60.20541835845648,
alt_trialTable_3.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.03, 0]","[-0.03, 0]",img/renders/face575_0.png,"[0.02, 0.02]",,,,,,,,,0,0,0,2,0,0,0,6,,,,,,,,,71.91714126300212,None,1.9889779559118235,,,,,,,1,,,,,,,,,,,,,70.15994914000476,None,8,1.724868695004261,70.15994914000476,None,73.98580133200448,None,73.98580133200448,74.19254139900295,73.98580133200448,74.19254139900295,73.98580133200448,None,None,73.98580133200448,None,12,2022_May_11_1019,flanker-basic_v2,2021.2.3,60.20541835845648,
alt_trialTable_3.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.03, 0]","[-0.03, 0]",img/renders/face570_0.png,"[0.02, 0.02]",,,,,,,,,0,0,0,2,0,1,1,19,,,,,,,,,,,1.870741482965932,,,,,,,1,,,,,,,,,,,,,,,,,,,76.02991101400403,76.02991101400403,76.02991101400403,76.24313286600227,76.02991101400403,76.24313286600227,76.02991101400403,76.02991101400403,None,76.02991101400403,76.02991101400403,12,2022_May_11_1019,flanker-basic_v2,2021.2.3,60.20541835845648,
alt_trialTable_3.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.03, 0]","[-0.03, 0]",img/renders/face713_0.png,"[0.02, 0.02]",,,,,,,,,0,0,0,2,0,2,2,30,,,,,,,,,,,1.6743486973947894,,,,,,,1,,,,,,,,,,,,,,,,,,,77.97402964899811,77.97402964899811,77.97402964899811,78.17606648500077,77.97402964899811,78.17606648500077,77.97402964899811,77.97402964899811,None,77.97402964899811,77.97402964899811,12,2022_May_11_1019,flanker-basic_v2,2021.2.3,60.20541835845648,
alt_trialTable_3.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.03, 0]","[-0.03, 0]",img/renders/face401_0.png,"[0.02, 0.02]",,,,,,,,,0,0,0,2,0,3,3,2,,,,,,,,,,,1.6192384769539079,,,,,,,1,,,,,,,,,,,,,,,,,,,79.71888160300296,79.71888160300296,79.71888160300296,79.92740608900203,79.71888160300296,79.92740608900203,79.71888160300296,79.71888160300296,None,79.71888160300296,79.71888160300296,12,2022_May_11_1019,flanker-basic_v2,2021.2.3,60.20541835845648,
alt_trialTable_3.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.03, 0]","[-0.03, 0]",img/renders/face178_0.png,"[0.02, 0.02]",,,,,,,,,0,0,0,2,0,4,4,9,,,,,,,,,,,1.8637274549098197,,,,,,,1,,,,,,,,,,,,,,,,,,,81.40568564800196,81.40568564800196,81.40568564800196,81.61094420700101,81.40568564800196,81.61094420700101,81.40568564800196,81.40568564800196,None,81.40568564800196,81.40568564800196,12,2022_May_11_1019,flanker-basic_v2,2021.2.3,60.20541835845648,
alt_trialTable_3.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.03, 0]","[-0.03, 0]",img/renders/face030_0.png,"[0.02, 0.02]",,,,,,,,,0,0,0,2,0,5,5,29,,,,,,,,,,,1.8466933867735469,,,,,,,1,,,,,,,,,,,,,,,,,,,83.33658422600274,83.33658422600274,83.33658422600274,83.5435509470044,83.33658422600274,83.5435509470044,83.33658422600274,83.33658422600274,None,83.33658422600274,83.33658422600274,12,2022_May_11_1019,flanker-basic_v2,2021.2.3,60.20541835845648,
alt_trialTable_3.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.03, 0]","[-0.03, 0]",img/renders/face887_0.png,"[0.02, 0.02]",,,,,,,,,0,0,0,2,0,6,6,10,,,,,,,,,,,1.902805611222445,,,,,,,1,,,,,,,,,,,,,,,,,,,85.25992096900154,85.25992096900154,85.25992096900154,85.47501304400066,85.25992096900154,85.47501304400066,85.25992096900154,85.25992096900154,None,85.25992096900154,85.25992096900154,12,2022_May_11_1019,flanker-basic_v2,2021.2.3,60.20541835845648,
alt_trialTable_3.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.03, 0]","[-0.03, 0]",img/renders/face235_0.png,"[0.02, 0.02]",,,,,,,,,0,0,0,2,0,7,7,28,,,,,,,,,,,1.5300601202404809,,,,,,,1,,,,,,,,,,,,,,,,,,,87.23896284199873,87.23896284199873,87.23896284199873,87.44304625099903,87.23896284199873,87.44304625099903,87.23896284199873,87.23896284199873,None,87.23896284199873,87.23896284199873,12,2022_May_11_1019,flanker-basic_v2,2021.2.3,60.20541835845648,
alt_trialTable_3.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.03, 0]","[-0.03, 0]",img/renders/face590_0.png,"[0.02, 0.02]",,,,,,,,,0,0,0,2,0,8,8,5,,,,,,,,,,,1.870741482965932,,,,,,,1,,,,,,,,,,,,,,,,,,,88.84037783500389,88.84037783500389,88.84037783500389,89.04160970800149,88.84037783500389,89.04160970800149,88.84037783500389,88.84037783500389,None,88.84037783500389,88.84037783500389,12,2022_May_11_1019,flanker-basic_v2,2021.2.3,60.20541835845648,
alt_trialTable_3.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.03, 0]","[-0.03, 0]",img/renders/face800_0.png,"[0.02, 0.02]",,,,,,,,,0,0,0,2,0,9,9,14,,,,,,,,,,,1.8386773547094188,,,,,,,1,,,,,,,,,,,,,,,,,,,90.76986830100213,90.76986830100213,90.76986830100213,90.97613706900302,90.76986830100213,90.97613706900302,90.76986830100213,90.76986830100213,None,90.76986830100213,90.76986830100213,12,2022_May_11_1019,flanker-basic_v2,2021.2.3,60.20541835845648,
alt_trialTable_3.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.03, 0]","[-0.03, 0]",img/renders/face466_0.png,"[0.02, 0.02]",,,,,,,,,0,0,0,2,0,10,10,13,,,,,,,,,,,1.6472945891783568,,,,,,,1,,,,,,,,,,,,,,,,,,,92.67466873100057,92.67466873100057,92.67466873100057,92.87623610700393,92.67466873100057,92.87623610700393,92.67466873100057,92.67466873100057,None,92.67466873100057,92.67466873100057,12,2022_May_11_1019,flanker-basic_v2,2021.2.3,60.20541835845648,
alt_trialTable_3.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.03, 0]","[-0.03, 0]",img/renders/face717_0.png,"[0.02, 0.02]",,,,,,,,,0,0,0,2,0,11,11,23,,,,,,,,,,,1.594188376753507,,,,,,,1,,,,,,,,,,,,,,,,,,,94.38908671199897,94.38908671199897,94.38908671199897,94.5928896760015,94.38908671199897,94.5928896760015,94.38908671199897,94.38908671199897,None,94.38908671199897,94.38908671199897,12,2022_May_11_1019,flanker-basic_v2,2021.2.3,60.20541835845648,
alt_trialTable_3.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.03, 0]","[-0.03, 0]",img/renders/face910_0.png,"[0.02, 0.02]",,,,,,,,,0,0,0,2,0,12,12,22,,,,,,,,,,,1.8847695390781565,,,,,,,1,,,,,,,,,,,,,,,,,,,96.0540388330046,96.0540388330046,96.0540388330046,96.2608079030033,96.0540388330046,96.2608079030033,96.0540388330046,96.0540388330046,None,96.0540388330046,96.0540388330046,12,2022_May_11_1019,flanker-basic_v2,2021.2.3,60.20541835845648,
alt_trialTable_3.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.03, 0]","[-0.03, 0]",img/renders/face698_0.png,"[0.02, 0.02]",,,,,,,,,0,0,0,2,0,13,13,24,,,,,,,,,,,1.6462925851703407,,,,,,,1,,,,,,,,,,,,,,,,,,,97.99984415300423,97.99984415300423,97.99984415300423,98.2093162989986,97.99984415300423,98.2093162989986,97.99984415300423,97.99984415300423,None,97.99984415300423,97.99984415300423,12,2022_May_11_1019,flanker-basic_v2,2021.2.3,60.20541835845648,
alt_trialTable_3.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.03, 0]","[-0.03, 0]",img/renders/face803_0.png,"[0.02, 0.02]",,,,,,,,,0,0,0,2,0,14,14,3,,,,,,,,,,,1.964929859719439,,,,,,,1,,,,,,,,,,,,,,,,,,,99.72043801499967,99.72043801499967,99.72043801499967,99.9272316830029,99.72043801499967,99.9272316830029,99.72043801499967,99.72043801499967,None,99.72043801499967,99.72043801499967,12,2022_May_11_1019,flanker-basic_v2,2021.2.3,60.20541835845648,
alt_trialTable_3.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.03, 0]","[-0.03, 0]",img/renders/face916_0.png,"[0.02, 0.02]",,,,,,,,,0,0,0,2,0,15,15,26,,,,,,,,,,,1.597194388777555,,,,,,,1,,,,,,,,,,,,,,,,,,,101.75119727700076,101.75119727700076,101.75119727700076,101.95844231900264,101.75119727700076,101.95844231900264,101.75119727700076,101.75119727700076,None,101.75119727700076,101.75119727700076,12,2022_May_11_1019,flanker-basic_v2,2021.2.3,60.20541835845648,
alt_trialTable_3.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.03, 0]","[-0.03, 0]",img/renders/face543_0.png,"[0.02, 0.02]",,,,,,,,,0,0,0,2,0,16,16,27,,,,,,,,,,,1.5611222444889779,,,,,,,1,,,,,,,,,,,,,,,,,,,103.42338790299982,103.42338790299982,103.42338790299982,103.6276064900012,103.42338790299982,103.6276064900012,103.42338790299982,103.42338790299982,None,103.42338790299982,103.42338790299982,12,2022_May_11_1019,flanker-basic_v2,2021.2.3,60.20541835845648,
alt_trialTable_3.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.03, 0]","[-0.03, 0]",img/renders/face514_0.png,"[0.02, 0.02]",,,,,,,,,0,0,0,2,0,17,17,25,,,,,,,,,,,1.7134268537074149,,,,,,,1,,,,,,,,,,,,,,,,,,,105.05673489400215,105.05673489400215,105.05673489400215,105.25964580000436,105.05673489400215,105.25964580000436,105.05673489400215,105.05673489400215,None,105.05673489400215,105.05673489400215,12,2022_May_11_1019,flanker-basic_v2,2021.2.3,60.20541835845648,
alt_trialTable_3.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.03, 0]","[-0.03, 0]",img/renders/face556_0.png,"[0.02, 0.02]",,,,,,,,,0,0,0,2,0,18,18,15,,,,,,,,,,,1.8547094188376752,,,,,,,1,,,,,,,,,,,,,,,,,,,106.83137531999819,106.83137531999819,106.83137531999819,107.04252013500081,106.83137531999819,107.04252013500081,106.83137531999819,106.83137531999819,None,106.83137531999819,106.83137531999819,12,2022_May_11_1019,flanker-basic_v2,2021.2.3,60.20541835845648,
alt_trialTable_3.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.03, 0]","[-0.03, 0]",img/renders/face188_0.png,"[0.02, 0.02]",,,,,,,,,0,0,0,2,0,19,19,0,,,,,,,,,,,1.656312625250501,,,,,,,1,,,,,,,,,,,,,,,,,,,108.74748266800452,108.74748266800452,108.74748266800452,108.96047302100487,108.74748266800452,108.96047302100487,108.74748266800452,108.74748266800452,None,108.74748266800452,108.74748266800452,12,2022_May_11_1019,flanker-basic_v2,2021.2.3,60.20541835845648,
alt_trialTable_3.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.03, 0]","[-0.03, 0]",img/renders/face082_0.png,"[0.02, 0.02]",,,,,,,,,0,0,0,2,0,20,20,18,,,,,,,,,,,1.7334669338677353,,,,,,,1,,,,,,,,,,,,,,,,,,,110.47324671599927,110.47324671599927,110.47324671599927,110.67598132000421,110.47324671599927,110.67598132000421,110.47324671599927,110.47324671599927,None,110.47324671599927,110.47324671599927,12,2022_May_11_1019,flanker-basic_v2,2021.2.3,60.20541835845648,
