whichBlock,middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,first_block_loop.thisRepN,first_block_loop.thisTrialN,first_block_loop.thisN,first_block_loop.thisIndex,firstTrial_loop.thisRepN,firstTrial_loop.thisTrialN,firstTrial_loop.thisN,firstTrial_loop.thisIndex,straightFace,prac_blockText.started,prac_blockText.stopped,prac_reminder_text.started,prac_reminder_text.stopped,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,prac_reminder_keyResp.started,prac_reminder_keyResp.stopped,initFixation_img.started,initFixation_img.stopped,ISI,prac_centerImg.started,prac_centerImg.stopped,prac_stim_keyResp.keys,prac_stim_keyResp.rt,prac_stim_keyResp.started,prac_stim_keyResp.stopped,accuracy,prac_blockFeed_text.started,prac_blockFeed_text.stopped,prac_pressContinue.started,prac_pressContinue.stopped,prac_blockFeed_keyResp.keys,prac_blockFeed_keyResp.rt,prac_blockFeed_keyResp.started,prac_blockFeed_keyResp.stopped,key_resp_counterbalance1.keys,key_resp_counterbalance1.rt,key_resp_counterbalance1.started,key_resp_counterbalance1.stopped,firstT_text1.started,firstT_text1.stopped,firstT_key.keys,firstT_key.rt,firstT_key.started,firstT_key.stopped,id,date,expName,psychopyVersion,frameRate,
trialTable_practice.csv,img/renders/face120_-45.png,img/renders/face120_-45.png,img/renders/face120_-45.png,6,1,left,"[0, 0]","[0.13, 0]","[-0.13, 0]",0,0,0,0,0,13,13,16,,,,,,,,,,,,,,,,,,,,1.9769539078156313,52.44222118499965,52.65478085400173,None,,52.44222118499965,52.44222118499965,0,,,,,,,,,,,,,,,,,,,12,2022_May_10_1228,flanker-basic_v2,2021.2.3,60.0498400453876,
trialTable_practice.csv,img/renders/face581_45.png,img/renders/face581_45.png,img/renders/face581_45.png,5,1,right,"[0, 0]","[0.13, 0]","[-0.13, 0]",0,0,0,0,0,14,14,8,,,,,,,,,,,,,,,,,,,,1.9088176352705408,54.43731287800256,54.637866045999544,['1'],[0.2672747709984833],54.43731287800256,54.43731287800256,0,,,,,,,,,,,,,,,,,,,12,2022_May_10_1228,flanker-basic_v2,2021.2.3,60.0498400453876,
trialTable_practice.csv,img/renders/face994_45.png,img/renders/face994_45.png,img/renders/face994_45.png,5,1,right,"[0, 0]","[0.13, 0]","[-0.13, 0]",0,0,0,0,0,15,15,13,,,,,,,,,,,,,,,,,,,,1.7064128256513027,56.37197355399985,56.57110278700202,['8'],[0.36259007600165205],56.37197355399985,56.37197355399985,1,,,,,,,,,,,,,,,,,,,12,2022_May_10_1228,flanker-basic_v2,2021.2.3,60.0498400453876,
trialTable_practice.csv,img/renders/face013_-45.png,img/renders/face013_-45.png,img/renders/face013_-45.png,6,1,left,"[0, 0]","[0.13, 0]","[-0.13, 0]",0,0,0,0,0,16,16,18,,,,,,,,,,,,,,,,,,,,1.6823647294589177,58.103726470002584,58.30344301399964,['1'],[0.3508768539977609],58.103726470002584,58.103726470002584,1,,,,,,,,,,,,,,,,,,,12,2022_May_10_1228,flanker-basic_v2,2021.2.3,60.0498400453876,
trialTable_practice.csv,img/renders/face211_45.png,img/renders/face211_45.png,img/renders/face211_45.png,5,1,right,"[0, 0]","[0.13, 0]","[-0.13, 0]",0,0,0,0,0,17,17,4,,,,,,,,,,,,,,,,,,,,1.6482965931863727,59.802754477001145,60.0030683469995,['8'],[0.4138477380001859],59.802754477001145,59.802754477001145,1,,,,,,,,,,,,,,,,,,,12,2022_May_10_1228,flanker-basic_v2,2021.2.3,60.0498400453876,
trialTable_practice.csv,img/renders/face634_-45.png,img/renders/face634_-45.png,img/renders/face634_-45.png,6,1,left,"[0, 0]","[0.13, 0]","[-0.13, 0]",0,0,0,0,0,18,18,11,,,,,,,,,,,,,,,,,,,,1.754509018036072,61.46983205500146,61.68578514299952,['1'],[0.4297345810009574],61.46983205500146,61.46983205500146,1,,,,,,,,,,,,,,,,,,,12,2022_May_10_1228,flanker-basic_v2,2021.2.3,60.0498400453876,
trialTable_practice.csv,img/renders/face586_-45.png,img/renders/face586_-45.png,img/renders/face586_-45.png,6,1,left,"[0, 0]","[0.13, 0]","[-0.13, 0]",0,0,0,0,0,19,19,2,,,,,,,,,,,,,,,,,,,,1.9238476953907817,63.2567336280008,63.46876777000216,['1'],[0.42586886000208324],63.2567336280008,63.2567336280008,1,,,,,,,,,,,,,,,,,,,12,2022_May_10_1228,flanker-basic_v2,2021.2.3,60.0498400453876,
trialTable_practice.csv,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.18492963100289,None,65.18492963100289,None,8,1.1887998029997107,65.18492963100289,None,,,,,,,,,,,12,2022_May_10_1228,flanker-basic_v2,2021.2.3,60.0498400453876,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,15.0009031160007,66.41883947300084,None,,,,,,,12,2022_May_10_1228,flanker-basic_v2,2021.2.3,60.0498400453876,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.55031434400007,None,1.9288577154308617,,,,,,,,,,,,,,,,,,,,81.45809409399953,None,8,2.06563627200012,81.45809409399953,None,,,,,,
