whichSurpriseBlock,instructsurpA1,instructsurpA2,FriendlyKey,taskTextSource,surpriseFaces,new,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,task_block_loop.thisRepN,task_block_loop.thisTrialN,task_block_loop.thisN,task_block_loop.thisIndex,surprise_block_loop.thisRepN,surprise_block_loop.thisTrialN,surprise_block_loop.thisN,surprise_block_loop.thisIndex,friendly_block_loop.thisRepN,friendly_block_loop.thisTrialN,friendly_block_loop.thisN,friendly_block_loop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,fix.started,fix.stopped,errorNumbers_text_2.started,errorNumbers_text_2.stopped,textbox_2.text,textbox_2.started,textbox_2.stopped,errorN_key_resp_2.keys,errorN_key_resp_2.rt,errorN_key_resp_2.started,errorN_key_resp_2.stopped,botherRate_text.started,botherRate_text.stopped,textbox_3.text,textbox_3.started,textbox_3.stopped,botherRate_key_resp.keys,botherRate_key_resp.rt,botherRate_key_resp.started,botherRate_key_resp.stopped,instruct_surprise1.started,instruct_surprise1.stopped,instruct_surp1_key_resp.keys,instruct_surp1_key_resp.rt,instruct_surprise1_2.started,instruct_surprise1_2.stopped,instruct_surp1_key_resp_2.keys,instruct_surp1_key_resp_2.rt,instructMainTask_text_2.started,instructMainTask_text_2.stopped,instructMainTask_keyResp_2.keys,instructMainTask_keyResp_2.rt,instructMainTask_keyResp_2.started,instructMainTask_keyResp_2.stopped,stimulus12.started,stimulus12.stopped,instructsurpA1_right_2.started,instructsurpA1_right_2.stopped,instructsurpA2_left_2.started,instructsurpA2_left_2.stopped,friendly_key_resp.keys,friendly_key_resp.rt,friendly_key_resp.started,friendly_key_resp.stopped,id,cb,friendly,date,expName,psychopyVersion,frameRate,
a_halfV_friendlyTable1.csv,Friendly - Right Key,Unfriendly - Left Key,right,"In this round, press Right key when the face is Friendly and the left key when it is Unfriendly.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",img/neutralC/CFD-AF-201-060-N.jpg,0,,,,,,,,,,,,,0,0,0,0,0,6,6,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.632888200000025,None,34.632888200000025,None,34.632888200000025,None,8,0.2198086000000785,34.632888200000025,None,999,A,A,2022-08-11_01h44.45.261,mfe_flanker_v1,2022.1.4,59.948049020753,
a_halfV_friendlyTable1.csv,Friendly - Right Key,Unfriendly - Left Key,right,"In this round, press Right key when the face is Friendly and the left key when it is Unfriendly.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",img/neutralC/CFD-AM-231-136-N.jpg,0,,,,,,,,,,,,,0,0,0,0,0,7,7,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.979814099999885,None,34.979814099999885,None,34.979814099999885,None,8,0.133124799999905,34.979814099999885,None,999,A,A,2022-08-11_01h44.45.261,mfe_flanker_v1,2022.1.4,59.948049020753,
a_halfV_friendlyTable1.csv,Friendly - Right Key,Unfriendly - Left Key,right,"In this round, press Right key when the face is Friendly and the left key when it is Unfriendly.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",img/neutralC/CFD-BF-232-187-N.jpg,0,,,,,,,,,,,,,0,0,0,0,0,8,8,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.242843600000015,None,35.242843600000015,None,35.242843600000015,None,8,0.11834429999998974,35.242843600000015,None,999,A,A,2022-08-11_01h44.45.261,mfe_flanker_v1,2022.1.4,59.948049020753,
a_halfV_friendlyTable1.csv,Friendly - Right Key,Unfriendly - Left Key,right,"In this round, press Right key when the face is Friendly and the left key when it is Unfriendly.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",img/neutralC/CFD-BF-248-149-N.jpg,0,,,,,,,,,,,,,0,0,0,0,0,9,9,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.505934600000046,None,35.505934600000046,None,35.505934600000046,None,8,0.10516219999999521,35.505934600000046,None,999,A,A,2022-08-11_01h44.45.261,mfe_flanker_v1,2022.1.4,59.948049020753,
a_halfV_friendlyTable1.csv,Friendly - Right Key,Unfriendly - Left Key,right,"In this round, press Right key when the face is Friendly and the left key when it is Unfriendly.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",img/neutralC/CFD-MF-339-002-N.jpg,0,,,,,,,,,,,,,0,0,0,0,0,10,10,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.73970259999987,None,35.73970259999987,None,35.73970259999987,None,8,0.16292399999997542,35.73970259999987,None,999,A,A,2022-08-11_01h44.45.261,mfe_flanker_v1,2022.1.4,59.948049020753,
a_halfV_friendlyTable1.csv,Friendly - Right Key,Unfriendly - Left Key,right,"In this round, press Right key when the face is Friendly and the left key when it is Unfriendly.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",img/neutralC/CFD-AM-207-108-N.jpg,0,,,,,,,,,,,,,0,0,0,0,0,11,11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0209147999999,None,36.0209147999999,None,36.0209147999999,None,8,0.17752569999993284,36.0209147999999,None,999,A,A,2022-08-11_01h44.45.261,mfe_flanker_v1,2022.1.4,59.948049020753,
a_halfV_friendlyTable1.csv,Friendly - Right Key,Unfriendly - Left Key,right,"In this round, press Right key when the face is Friendly and the left key when it is Unfriendly.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",img/neutralC/CFD-LF-254-125-N.jpg,0,,,,,,,,,,,,,0,0,0,0,0,12,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.32604029999993,None,36.32604029999993,None,36.32604029999993,None,8,0.22182939999993323,36.32604029999993,None,999,A,A,2022-08-11_01h44.45.261,mfe_flanker_v1,2022.1.4,59.948049020753,
a_halfV_friendlyTable1.csv,Friendly - Right Key,Unfriendly - Left Key,right,"In this round, press Right key when the face is Friendly and the left key when it is Unfriendly.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",img/neutralC/CFD-BF-218-207-N.jpg,0,,,,,,,,,,,,,0,0,0,0,0,13,13,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.67017859999987,None,36.67017859999987,None,36.67017859999987,None,8,0.3746965000000273,36.67017859999987,None,999,A,A,2022-08-11_01h44.45.261,mfe_flanker_v1,2022.1.4,59.948049020753,
a_halfV_friendlyTable1.csv,Friendly - Right Key,Unfriendly - Left Key,right,"In this round, press Right key when the face is Friendly and the left key when it is Unfriendly.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",img/neutralC/CFD-IF-644-306-1-N.jpg,0,,,,,,,,,,,,,0,0,0,0,0,14,14,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.17665899999997,None,37.17665899999997,None,37.17665899999997,None,8,0.16714649999994435,37.17665899999997,None,999,A,A,2022-08-11_01h44.45.261,mfe_flanker_v1,2022.1.4,59.948049020753,
a_halfV_friendlyTable1.csv,Friendly - Right Key,Unfriendly - Left Key,right,"In this round, press Right key when the face is Friendly and the left key when it is Unfriendly.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",img/neutralC/CFD-BF-033-028-N.jpg,0,,,,,,,,,,,,,0,0,0,0,0,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.465783599999895,None,37.465783599999895,None,37.465783599999895,None,8,0.11889189999988048,37.465783599999895,None,999,A,A,2022-08-11_01h44.45.261,mfe_flanker_v1,2022.1.4,59.948049020753,
