whichBlock,middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL,straightFace,imageSize,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,prac_blockText.started,prac_blockText.stopped,prac_reminder_text.started,prac_reminder_text.stopped,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,prac_reminder_keyResp.started,prac_reminder_keyResp.stopped,initFixation_img.started,initFixation_img.stopped,ISI,bigFace.started,bigFace.stopped,cover_background_2.started,cover_background_2.stopped,prac_centerImg.started,prac_centerImg.stopped,prac_stim_keyResp.keys,prac_stim_keyResp.rt,prac_stim_keyResp.started,prac_stim_keyResp.stopped,accuracy,prac_blockFeed_text.started,prac_blockFeed_text.stopped,prac_pressContinue.started,prac_pressContinue.stopped,prac_blockFeed_keyResp.keys,prac_blockFeed_keyResp.rt,prac_blockFeed_keyResp.started,prac_blockFeed_keyResp.stopped,id,cb,friendly,date,expName,psychopyVersion,frameRate,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-BF-231-202-N.jpg,"[0.035, 0.035]",0,0,0,0,0,10,10,9,,,,,,,,,,,3.977955911823647,80.87937723397044,80.87937723397044,80.87937723397044,81.239089072973,81.02203136897879,81.22241264698096,['left'],[0.5955939819687046],80.87937723397044,80.87937723397044,0,,,,,,,,,999,A,A,2022-06-20_12h15.23.168,face_flanker_v1,2022.1.4,59.790546552171826,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-BM-018-001-N.jpg,"[0.035, 0.035]",0,0,0,0,0,11,11,8,,,,,,,,,,,3.7044088176352705,85.09400299098343,85.09400299098343,85.09400299098343,85.45656929601682,85.23893515596865,85.44013977999566,['right'],[0.4720619019935839],85.09400299098343,85.09400299098343,0,,,,,,,,,999,A,A,2022-06-20_12h15.23.168,face_flanker_v1,2022.1.4,59.790546552171826,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-BF-224-002-N.jpg,"[0.035, 0.035]",0,0,0,0,0,12,12,7,,,,,,,,,,,3.8927855711422845,89.03804671496619,89.03804671496619,89.03804671496619,89.3882276850054,89.172224259004,89.37269569101045,['right'],[0.6318288759794086],89.03804671496619,89.03804671496619,0,,,,,,,,,999,A,A,2022-06-20_12h15.23.168,face_flanker_v1,2022.1.4,59.790546552171826,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-IM-695-001-N.jpg,"[0.035, 0.035]",0,0,0,0,0,13,13,14,,,,,,,,,,,3.539078156312625,93.15718938596547,93.15718938596547,93.15718938596547,93.52264554001158,93.2887842959608,93.48872242099606,"['right', 'left']","[0.5196756020304747, 0.6233075960190035]",93.15718938596547,93.15718938596547,0,,,,,,,,,999,A,A,2022-06-20_12h15.23.168,face_flanker_v1,2022.1.4,59.790546552171826,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-WF-023-003-N.jpg,"[0.035, 0.035]",0,0,0,0,0,14,14,4,,,,,,,,,,,3.7034068136272547,96.97308763500769,96.97308763500769,96.97308763500769,97.3237434939947,97.10552329797065,97.3054385529831,['right'],[0.655942204000894],96.97308763500769,96.97308763500769,0,,,,,,,,,999,A,A,2022-06-20_12h15.23.168,face_flanker_v1,2022.1.4,59.790546552171826,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-BF-051-035-N.jpg,"[0.035, 0.035]",0,0,0,0,0,15,15,6,,,,,,,,,,,3.8627254509018036,100.92766871699132,100.92766871699132,100.92766871699132,101.29026153101586,101.07169885397889,101.27175019297283,['left'],[0.5821458990103565],100.92766871699132,100.92766871699132,0,,,,,,,,,999,A,A,2022-06-20_12h15.23.168,face_flanker_v1,2022.1.4,59.790546552171826,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-BF-009-002-N.jpg,"[0.035, 0.035]",0,0,0,0,0,16,16,15,,,,,,,,,,,3.874749498997996,105.01656317000743,105.01656317000743,105.01656317000743,105.37269239296438,105.15544394496828,105.35603232198628,['right'],[0.4268875520210713],105.01656317000743,105.01656317000743,0,,,,,,,,,999,A,A,2022-06-20_12h15.23.168,face_flanker_v1,2022.1.4,59.790546552171826,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-IF-620-218-N.jpg,"[0.035, 0.035]",0,0,0,0,0,17,17,12,,,,,,,,,,,3.842685370741483,109.13024743198184,109.13024743198184,109.13024743198184,109.4893447009963,109.27214618399739,109.47237174899783,['left'],[0.5520343949901871],109.13024743198184,109.13024743198184,0,,,,,,,,,999,A,A,2022-06-20_12h15.23.168,face_flanker_v1,2022.1.4,59.790546552171826,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-IM-652-191-N.jpg,"[0.035, 0.035]",0,0,0,0,0,18,18,18,,,,,,,,,,,3.6833667334669338,113.19958091597073,113.19958091597073,113.19958091597073,113.55564422399038,113.35458695096895,113.55564422399038,['left'],[0.5161280269967392],113.19958091597073,113.19958091597073,0,,,,,,,,,999,A,A,2022-06-20_12h15.23.168,face_flanker_v1,2022.1.4,59.790546552171826,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-BF-233-116-N.jpg,"[0.035, 0.035]",0,0,0,0,0,19,19,5,,,,,,,,,,,3.95691382765531,117.10837443196215,117.10837443196215,117.10837443196215,117.4728315739776,117.24577466701157,117.45520591799868,['left'],[0.619381461001467],117.10837443196215,117.10837443196215,0,,,,,,,,,999,A,A,2022-06-20_12h15.23.168,face_flanker_v1,2022.1.4,59.790546552171826,
a_halfV_trialTable_practice.csv,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,121.07585099100834,None,121.07585099100834,None,right,6.250793029961642,121.07585099100834,None,999,A,A,2022-06-20_12h15.23.168,face_flanker_v1,2022.1.4,59.790546552171826,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-WF-234-086-N.jpg,"[0.035, 0.035]",1,0,1,0,0,0,0,2,127.37766205897788,None,127.37766205897788,None,right,0.6411534770159051,127.37766205897788,None,128.0721322199679,None,3.7144288577154305,130.30084538296796,None,130.30084538296796,130.65599482599646,130.438268213009,130.63876757700928,['right'],[0.7350200780201703],130.30084538296796,None,0,,,,,,,,,999,A,A,2022-06-20_12h15.23.168,face_flanker_v1,2022.1.4,59.790546552171826,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-BF-009-002-N.jpg,"[0.035, 0.035]",1,0,1,0,0,1,1,15,,,,,,,,,,,3.6102204408817635,134.24741861998336,134.24741861998336,134.24741861998336,134.60460755397798,134.38864269200712,134.58805887401104,['left'],[0.5790656469762325],134.24741861998336,134.24741861998336,0,,,,,,,,,999,A,A,2022-06-20_12h15.23.168,face_flanker_v1,2022.1.4,59.790546552171826,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-IM-652-191-N.jpg,"[0.035, 0.035]",1,0,1,0,0,2,2,18,,,,,,,,,,,3.6162324649298596,138.09837295097532,138.09837295097532,138.09837295097532,138.45513384899823,138.2395868099993,138.45513384899823,['left'],[0.5288066940265708],138.09837295097532,138.09837295097532,0,,,,,,,,,999,A,A,2022-06-20_12h15.23.168,face_flanker_v1,2022.1.4,59.790546552171826,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-WF-029-002-N.jpg,"[0.035, 0.035]",1,0,1,0,0,3,3,19,,,,,,,,,,,3.658316633266533,141.94465101195965,141.94465101195965,141.94465101195965,142.30586374696577,142.0883622620022,142.28784261498367,['right'],[0.6059319380437955],141.94465101195965,141.94465101195965,0,,,,,,,,,999,A,A,2022-06-20_12h15.23.168,face_flanker_v1,2022.1.4,59.790546552171826,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-WM-233-106-N.jpg,"[0.035, 0.035]",1,0,1,0,0,4,4,17,,,,,,,,,,,3.9198396793587174,145.83054771798197,145.83054771798197,145.83054771798197,146.18912135699065,145.97230512398528,146.17217844899278,['right'],[0.551709090010263],145.83054771798197,145.83054771798197,0,,,,,,,,,999,A,A,2022-06-20_12h15.23.168,face_flanker_v1,2022.1.4,59.790546552171826,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-IM-695-001-N.jpg,"[0.035, 0.035]",1,0,1,0,0,5,5,14,,,,,,,,,,,3.760521042084168,149.98461130796932,149.98461130796932,149.98461130796932,150.338900414994,150.12259982997784,150.32124227896566,['left'],[0.6227997210226022],149.98461130796932,149.98461130796932,0,,,,,,,,,999,A,A,2022-06-20_12h15.23.168,face_flanker_v1,2022.1.4,59.790546552171826,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-AM-220-134-N.jpg,"[0.035, 0.035]",1,0,1,0,0,6,6,16,,,,,,,,,,,3.5831663326653307,153.97130928200204,153.97130928200204,153.97130928200204,154.3208347419859,154.10394888796145,154.3049778409768,['left'],[0.5968054819968529],153.97130928200204,153.97130928200204,0,,,,,,,,,999,A,A,2022-06-20_12h15.23.168,face_flanker_v1,2022.1.4,59.790546552171826,
