whichBlock,middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL,straightFace,imageSize,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,task_block_loop.thisRepN,task_block_loop.thisTrialN,task_block_loop.thisN,task_block_loop.thisIndex,task_trial_loop.thisRepN,task_trial_loop.thisTrialN,task_trial_loop.thisN,task_trial_loop.thisIndex,prac_blockText.started,prac_blockText.stopped,prac_reminder_text.started,prac_reminder_text.stopped,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,prac_reminder_keyResp.started,prac_reminder_keyResp.stopped,initFixation_img.started,initFixation_img.stopped,ISI,bigFace.started,bigFace.stopped,cover_background_2.started,cover_background_2.stopped,prac_centerImg.started,prac_centerImg.stopped,prac_stim_keyResp.keys,prac_stim_keyResp.rt,prac_stim_keyResp.started,prac_stim_keyResp.stopped,accuracy,prac_blockFeed_text.started,prac_blockFeed_text.stopped,prac_pressContinue.started,prac_pressContinue.stopped,prac_blockFeed_keyResp.keys,prac_blockFeed_keyResp.rt,prac_blockFeed_keyResp.started,prac_blockFeed_keyResp.stopped,task_blockText.started,task_blockText.stopped,task_blockReminders_keyResp.keys,task_blockReminders_keyResp.rt,task_blockReminders_keyResp.started,task_blockReminders_keyResp.stopped,bigFace_2.started,bigFace_2.stopped,cover_background.started,cover_background.stopped,task_centerImg.started,task_centerImg.stopped,task_fixImg.started,task_fixImg.stopped,task1_stim_keyResp.keys,task1_stim_keyResp.rt,task1_stim_keyResp.started,task1_stim_keyResp.stopped,id,cb,friendly,date,expName,psychopyVersion,frameRate,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-IM-652-191-N.jpg,"[0.035, 0.035]",0,0,0,0,0,10,10,18,,,,,,,,,,,,,,,,,,,3.7014028056112225,59.8511179080233,59.8511179080233,59.8511179080233,60.21357361401897,59.99777639599051,60.21357361401897,['left'],[0.5671331640332937],59.8511179080233,59.8511179080233,1,,,,,,,,,,,,,,,,,,,,,,,,,,,999,A,A,2022-06-20_12h21.08.287,face_flanker_v1,2022.1.4,60.06903939712807,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-LF-231-260-N.jpg,"[0.035, 0.035]",0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,3.6923847695390783,63.783151309005916,63.783151309005916,63.783151309005916,64.14732631697552,63.91305628599366,64.11387789301807,['right'],[0.503125881019514],63.783151309005916,63.783151309005916,1,,,,,,,,,,,,,,,,,,,,,,,,,,,999,A,A,2022-06-20_12h21.08.287,face_flanker_v1,2022.1.4,60.06903939712807,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-BF-051-035-N.jpg,"[0.035, 0.035]",0,0,0,0,0,12,12,6,,,,,,,,,,,,,,,,,,,3.7855711422845695,67.70927214698168,67.70927214698168,67.70927214698168,68.06352911499562,67.84777067799587,68.06352911499562,['left'],[0.4600402810028754],67.70927214698168,67.70927214698168,1,,,,,,,,,,,,,,,,,,,,,,,,,,,999,A,A,2022-06-20_12h21.08.287,face_flanker_v1,2022.1.4,60.06903939712807,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-BF-231-202-N.jpg,"[0.035, 0.035]",0,0,0,0,0,13,13,9,,,,,,,,,,,,,,,,,,,3.9498997995991987,71.7171267910162,71.7171267910162,71.7171267910162,72.08090071502374,71.86386717000278,72.06355853000423,['left'],[0.5847016680054367],71.7171267910162,71.7171267910162,1,,,,,,,,,,,,,,,,,,,,,,,,,,,999,A,A,2022-06-20_12h21.08.287,face_flanker_v1,2022.1.4,60.06903939712807,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-LM-246-087-N.jpg,"[0.035, 0.035]",0,0,0,0,0,14,14,3,,,,,,,,,,,,,,,,,,,3.69438877755511,75.90412033098983,75.90412033098983,75.90412033098983,76.26420876098564,76.04792536702007,76.26420876098564,['left'],[0.45882447104668245],75.90412033098983,75.90412033098983,1,,,,,,,,,,,,,,,,,,,,,,,,,,,999,A,A,2022-06-20_12h21.08.287,face_flanker_v1,2022.1.4,60.06903939712807,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-BF-224-002-N.jpg,"[0.035, 0.035]",0,0,0,0,0,15,15,7,,,,,,,,,,,,,,,,,,,3.541082164328657,79.83755870797904,79.83755870797904,79.83755870797904,80.19698763400083,79.97972979402402,80.17956491402583,['right'],[0.6322871070005931],79.83755870797904,79.83755870797904,1,,,,,,,,,,,,,,,,,,,,,,,,,,,999,A,A,2022-06-20_12h21.08.287,face_flanker_v1,2022.1.4,60.06903939712807,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-MM-307-002-N.jpg,"[0.035, 0.035]",0,0,0,0,0,16,16,10,,,,,,,,,,,,,,,,,,,3.977955911823647,83.60392110102111,83.60392110102111,83.60392110102111,83.9638267569826,83.74703545600642,83.94700678501977,['right'],[0.5465732760494575],83.60392110102111,83.60392110102111,1,,,,,,,,,,,,,,,,,,,,,,,,,,,999,A,A,2022-06-20_12h21.08.287,face_flanker_v1,2022.1.4,60.06903939712807,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-WF-023-003-N.jpg,"[0.035, 0.035]",0,0,0,0,0,17,17,4,,,,,,,,,,,,,,,,,,,3.9248496993987976,87.83400844299467,87.83400844299467,87.83400844299467,88.19775335601298,87.98010858497582,88.17961248802021,['right'],[0.4518199040321633],87.83400844299467,87.83400844299467,1,,,,,,,,,,,,,,,,,,,,,,,,,,,999,A,A,2022-06-20_12h21.08.287,face_flanker_v1,2022.1.4,60.06903939712807,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-WM-233-106-N.jpg,"[0.035, 0.035]",0,0,0,0,0,18,18,17,,,,,,,,,,,,,,,,,,,3.653306613226453,91.99511786398944,91.99511786398944,91.99511786398944,92.34696639497997,92.12937575101387,92.33037966501433,['right'],[0.5525904350215569],91.99511786398944,91.99511786398944,1,,,,,,,,,,,,,,,,,,,,,,,,,,,999,A,A,2022-06-20_12h21.08.287,face_flanker_v1,2022.1.4,60.06903939712807,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-BM-018-001-N.jpg,"[0.035, 0.035]",0,0,0,0,0,19,19,8,,,,,,,,,,,,,,,,,,,3.567134268537074,95.90063181199366,95.90063181199366,95.90063181199366,96.2636049669818,96.04690951202065,96.24787013197783,['right'],[0.48733698605792597],95.90063181199366,95.90063181199366,1,,,,,,,,,,,,,,,,,,,,,,,,,,,999,A,A,2022-06-20_12h21.08.287,face_flanker_v1,2022.1.4,60.06903939712807,
