whichBlock,middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL,straightFace,imageSize,whichSurpriseBlock,firstTextA,secondTextA,firstLeft,firstRight,secondLeft,secondRight,surp_csv_name,surpriseFaces,new,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,task_block_loop.thisRepN,task_block_loop.thisTrialN,task_block_loop.thisN,task_block_loop.thisIndex,task_trial_loop.thisRepN,task_trial_loop.thisTrialN,task_trial_loop.thisN,task_trial_loop.thisIndex,surprise_block_loop.thisRepN,surprise_block_loop.thisTrialN,surprise_block_loop.thisN,surprise_block_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,prac_blockText.started,prac_reminder_text.started,prac_reminder_keyResp.started,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,initFixation_img.started,ISI,bigFace.started,cover_background_2.started,prac_stim_keyResp.started,prac_centerImg.started,prac_centerImg.stopped,cover_background_2.stopped,bigFace.stopped,prac_stim_keyResp.stopped,prac_stim_keyResp.keys,accuracy,prac_stim_keyResp.rt,prac_blockFeed_text.started,prac_pressContinue.started,prac_blockFeed_keyResp.started,prac_blockFeed_keyResp.keys,prac_blockFeed_keyResp.rt,ringBell_text.started,bellKey.started,bellKey.keys,bellKey.rt,task_blockText.started,task_blockReminders_keyResp.started,task_blockReminders_keyResp.keys,task_blockReminders_keyResp.rt,bigFace_2.started,cover_background.started,task_fixImg.started,task1_stim_keyResp.started,task_centerImg.started,task_centerImg.stopped,cover_background.stopped,bigFace_2.stopped,task_fixImg.stopped,task1_stim_keyResp.stopped,task1_stim_keyResp.keys,task1_stim_keyResp.rt,blockFeedCat,task_blockFeed_text.started,task_blockFeed_keyResp.started,task_blockFeed_keyResp.keys,task_blockFeed_keyResp.rt,ringBell_text_2.started,bellKey_2.started,bellKey_2.keys,bellKey_2.rt,errorNum_text.started,textbox_errorNum.started,errorN_key_resp.started,textbox_errorNum.text,errorN_key_resp.keys,errorN_key_resp.rt,errorPercent_text.started,textbox_errorPercent.started,errorN_key_resp_2.started,textbox_errorPercent.text,errorN_key_resp_2.keys,errorN_key_resp_2.rt,botherRate_text.started,textbox_botherRate.started,botherRate_key_resp.started,textbox_botherRate.text,botherRate_key_resp.keys,botherRate_key_resp.rt,ringBell_text_3.started,bellKey_3.started,bellKey_3.keys,bellKey_3.rt,instruct_surprise1.started,instruct_surp1_key_resp.keys,instruct_surp1_key_resp.rt,instruct_surprise1_5.started,prac_firstSlider_2.started,text_7.started,text_8.started,prac_firstSlider_2.response,prac_firstSlider_2.rt,instruct_surprise1_7.started,prac_firstSlider_3.started,text_9.started,text_10.started,prac_firstSlider_3.response,prac_firstSlider_3.rt,instruct_surprise1_6.started,prac_secSlider.started,text_11.started,text_13.started,prac_secSlider.response,prac_secSlider.rt,instruct_surprise1_8.started,prac_secSlider_2.started,text_12.started,text_14.started,prac_secSlider_2.response,prac_secSlider_2.rt,task_blockText_2.started,task_blockReminders_keyResp_2.started,task_blockReminders_keyResp_2.keys,task_blockReminders_keyResp_2.rt,first_surpStimuliA1.started,fStimA1.started,firstStim_sliderA1.started,first_mouseA1.started,text.started,text_2.started,firstStim_sliderA1.response,firstStim_sliderA1.rt,first_mouseA1.x,first_mouseA1.y,first_mouseA1.leftButton,first_mouseA1.midButton,first_mouseA1.rightButton,first_mouseA1.time,face_stimA.started,face_stimA.stopped,second_surpStimuliA1.started,sStimA1.started,secondStim_sliderA1.started,sec_mouseA1.started,text_3.started,text_4.started,secondStim_sliderA1.response,secondStim_sliderA1.rt,sec_mouseA1.x,sec_mouseA1.y,sec_mouseA1.leftButton,sec_mouseA1.midButton,sec_mouseA1.rightButton,sec_mouseA1.time,thisISI3,polygon.started,polygon.stopped,ringBell_text_4.started,bellKey_4.started,bellKey_4.keys,bellKey_4.rt,finishMessage_text.started,finishMessage_text.stopped,id,cb,date,expName,psychopyVersion,frameRate,
csv_files/a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-WF-225-101-N.jpg,"[0.035, 0.035]",,,,,,,,,,,0,0,0,0,0,10,10,16,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8687374749498997,299.19359109998913,299.19359109998913,299.19359109998913,299.230086800002,299.43155300000217,299.5478033000254,303.179875300033,303.179875300033,['8'],1,[0.7514659999869764],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170040,A,2022-10-03_09h59.15.094,mfe_flanker_v1,2022.2.4,238.0782322879817,
csv_files/a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-BM-029-024-N.jpg,"[0.035, 0.035]",,,,,,,,,,,0,0,0,0,0,11,11,9,,,,,,,,,,,,,,,,,,,,,,,,,,,3.556112224448898,303.179875300033,303.179875300033,303.179875300033,303.21572720003314,303.41615210002055,303.5330229999963,306.85635060002096,306.85635060002096,['1'],1,[0.5942508000298403],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170040,A,2022-10-03_09h59.15.094,mfe_flanker_v1,2022.2.4,238.0782322879817,
csv_files/a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-IM-632-097-N.jpg,"[0.035, 0.035]",,,,,,,,,,,0,0,0,0,0,12,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6172344689378755,306.85635060002096,306.85635060002096,306.85635060002096,306.891424499976,307.09301539999433,307.20793149998644,310.58872639999026,310.58872639999026,['1'],1,[0.6127425999729894],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170040,A,2022-10-03_09h59.15.094,mfe_flanker_v1,2022.2.4,238.0782322879817,
csv_files/a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-AM-237-154-N.jpg,"[0.035, 0.035]",,,,,,,,,,,0,0,0,0,0,13,13,14,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6342685370741483,310.58872639999026,310.58872639999026,310.58872639999026,310.62786780000897,310.8315004000324,310.9398549000034,314.343331400014,314.343331400014,['8'],1,[0.5938907999661751],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170040,A,2022-10-03_09h59.15.094,mfe_flanker_v1,2022.2.4,238.0782322879817,
csv_files/a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-BF-017-003-N.jpg,"[0.035, 0.035]",,,,,,,,,,,0,0,0,0,0,14,14,19,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8867735470941884,314.343331400014,314.343331400014,314.343331400014,314.37623739999253,314.5786557000247,314.69410130003234,318.34007229999406,318.34007229999406,['1'],1,[0.5464816999738105],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170040,A,2022-10-03_09h59.15.094,mfe_flanker_v1,2022.2.4,238.0782322879817,
csv_files/a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-AF-218-157-N.jpg,"[0.035, 0.035]",,,,,,,,,,,0,0,0,0,0,15,15,11,,,,,,,,,,,,,,,,,,,,,,,,,,,3.530060120240481,318.34007229999406,318.34007229999406,318.34007229999406,318.38193010003306,318.5850987000158,318.68929210002534,321.98600099998293,321.98600099998293,['8'],1,[0.5318362999823876],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170040,A,2022-10-03_09h59.15.094,mfe_flanker_v1,2022.2.4,238.0782322879817,
csv_files/a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-BM-015-015-N.jpg,"[0.035, 0.035]",,,,,,,,,,,0,0,0,0,0,16,16,5,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9849699398797593,321.98600099998293,321.98600099998293,321.98600099998293,322.02704870002344,322.22693130001426,322.34428800002206,326.0928973000264,326.0928973000264,['1'],1,[0.5850657999981195],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170040,A,2022-10-03_09h59.15.094,mfe_flanker_v1,2022.2.4,238.0782322879817,
csv_files/a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-IM-615-167-N.jpg,"[0.035, 0.035]",,,,,,,,,,,0,0,0,0,0,17,17,6,,,,,,,,,,,,,,,,,,,,,,,,,,,3.753507014028056,326.0928973000264,326.0928973000264,326.0928973000264,326.12384700000985,326.32650159997866,326.4455350000062,329.9539399999776,329.9539399999776,['8'],1,[0.4485730000305921],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170040,A,2022-10-03_09h59.15.094,mfe_flanker_v1,2022.2.4,238.0782322879817,
csv_files/a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-BM-004-002-N.jpg,"[0.035, 0.035]",,,,,,,,,,,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5120240480961926,329.9539399999776,329.9539399999776,329.9539399999776,330.00153150002006,330.2119607999921,330.30789739999454,333.58655649999855,333.58655649999855,['1'],1,[0.44157490000361577],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170040,A,2022-10-03_09h59.15.094,mfe_flanker_v1,2022.2.4,238.0782322879817,
csv_files/a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-WF-201-156-N.jpg,"[0.035, 0.035]",,,,,,,,,,,0,0,0,0,0,19,19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,3.920841683366733,333.58655649999855,333.58655649999855,333.58655649999855,333.6230058000074,333.8234255000134,333.93736510002054,337.5128397999797,337.5128397999797,['8'],1,[0.5788414999842644],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170040,A,2022-10-03_09h59.15.094,mfe_flanker_v1,2022.2.4,238.0782322879817,
