whichBlock,middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL,straightFace,imageSize,whichSurpriseBlock,firstTextA,firstLeft,firstRight,surp_csv_name,surpriseFaces,new,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,task_block_loop.thisRepN,task_block_loop.thisTrialN,task_block_loop.thisN,task_block_loop.thisIndex,task_trial_loop.thisRepN,task_trial_loop.thisTrialN,task_trial_loop.thisN,task_trial_loop.thisIndex,surprise_block_loop.thisRepN,surprise_block_loop.thisTrialN,surprise_block_loop.thisN,surprise_block_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,prac_blockText.started,prac_reminder_text.started,prac_reminder_keyResp.started,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,initFixation_img.started,ISI,bigFace.started,cover_background_2.started,prac_centerImg.started,prac_stim_keyResp.started,prac_centerImg.stopped,cover_background_2.stopped,bigFace.stopped,prac_stim_keyResp.stopped,prac_stim_keyResp.keys,accuracy,prac_stim_keyResp.rt,prac_blockFeed_text.started,prac_pressContinue.started,prac_blockFeed_keyResp.started,prac_blockFeed_keyResp.keys,prac_blockFeed_keyResp.rt,ringBell_text.started,bellKey.started,bellKey.keys,bellKey.rt,task_blockText.started,task_blockReminders_keyResp.started,task_blockReminders_keyResp.keys,task_blockReminders_keyResp.rt,bigFace_2.started,cover_background.started,task_fixImg.started,task1_stim_keyResp.started,task_centerImg.started,task_centerImg.stopped,cover_background.stopped,bigFace_2.stopped,task_fixImg.stopped,task1_stim_keyResp.stopped,task1_stim_keyResp.keys,task1_stim_keyResp.rt,blockFeedCat,task_blockFeed_text.started,task_blockFeed_keyResp.started,task_blockFeed_keyResp.keys,task_blockFeed_keyResp.rt,ringBell_text_2.started,bellKey_2.started,bellKey_2.keys,bellKey_2.rt,errorNum_text.started,textbox_errorNum.started,errorN_key_resp.started,textbox_errorNum.text,errorN_key_resp.keys,errorN_key_resp.rt,errorPercent_text.started,textbox_errorPercent.started,errorN_key_resp_2.started,textbox_errorPercent.text,errorN_key_resp_2.keys,errorN_key_resp_2.rt,botherRate_text.started,textbox_botherRate.started,botherRate_key_resp.started,textbox_botherRate.text,botherRate_key_resp.keys,botherRate_key_resp.rt,ringBell_text_3.started,bellKey_3.started,bellKey_3.keys,bellKey_3.rt,instruct_surprise1.started,instruct_surp1_key_resp.keys,instruct_surp1_key_resp.rt,instruct_surprise1_5.started,prac_firstSlider_2.started,text_7.started,text_8.started,prac_firstSlider_2.response,prac_firstSlider_2.rt,instruct_surprise1_7.started,prac_firstSlider_3.started,text_9.started,text_10.started,prac_firstSlider_3.response,prac_firstSlider_3.rt,task_blockText_2.started,task_blockReminders_keyResp_2.started,task_blockReminders_keyResp_2.keys,task_blockReminders_keyResp_2.rt,polygon2.started,polygon2.stopped,first_surpStimuliA1.started,fStimA1.started,firstStim_sliderA1.started,first_mouseA1.started,text.started,text_2.started,firstStim_sliderA1.response,firstStim_sliderA1.rt,first_mouseA1.x,first_mouseA1.y,first_mouseA1.leftButton,first_mouseA1.midButton,first_mouseA1.rightButton,first_mouseA1.time,thisISI3,polygon.started,polygon.stopped,ringBell_text_4.started,bellKey_4.started,bellKey_4.keys,bellKey_4.rt,finishMessage_text.started,finishMessage_text.stopped,id,cb,date,expName,psychopyVersion,frameRate,
csv_files/a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-AF-205-155-N.jpg,"[0.035, 0.035]",,,,,,,,0,0,0,0,0,10,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7595190380761525,407.9265024999622,407.9265024999622,407.967868699925,407.9265024999622,408.16860219999216,408.2790608999785,411.8296071999939,411.8296071999939,['8'],1,[0.7909986999584362],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200013,A,2022-10-18_17h54.21.545,mfe_b,2022.2.4,239.40340662716542,
csv_files/a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-BF-005-001-N.jpg,"[0.035, 0.035]",,,,,,,,0,0,0,0,0,11,11,13,,,,,,,,,,,,,,,,,,,,,,,,,,,3.668336673346693,411.8296071999939,411.8296071999939,411.84065579995513,411.8296071999939,412.0407084999606,412.18518219992984,415.6290055999998,415.6290055999998,['8'],1,[0.8855318001005799],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200013,A,2022-10-18_17h54.21.545,mfe_b,2022.2.4,239.40340662716542,
csv_files/a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-IM-615-167-N.jpg,"[0.035, 0.035]",,,,,,,,0,0,0,0,0,12,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6042084168336674,415.6290055999998,415.6290055999998,415.65246389992535,415.6290055999998,415.8549248999916,415.9885073999176,419.358270799974,419.358270799974,['8'],1,[0.7415375000564381],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200013,A,2022-10-18_17h54.21.545,mfe_b,2022.2.4,239.40340662716542,
csv_files/a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-AF-218-157-N.jpg,"[0.035, 0.035]",,,,,,,,0,0,0,0,0,13,13,11,,,,,,,,,,,,,,,,,,,,,,,,,,,3.627254509018036,419.358270799974,419.358270799974,419.3914076000219,419.358270799974,419.592106099939,419.7100005999673,423.1209299999755,423.1209299999755,['8'],1,[0.7127338000573218],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200013,A,2022-10-18_17h54.21.545,mfe_b,2022.2.4,239.40340662716542,
csv_files/a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-BM-029-024-N.jpg,"[0.035, 0.035]",,,,,,,,0,0,0,0,0,14,14,9,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8697394789579156,423.1209299999755,423.1209299999755,423.1370191000169,423.1209299999755,423.34141130000353,423.4719795000274,427.1172524000285,427.1172524000285,['1'],1,[0.7413624000037089],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200013,A,2022-10-18_17h54.21.545,mfe_b,2022.2.4,239.40340662716542,
csv_files/a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-LM-228-188-N.jpg,"[0.035, 0.035]",,,,,,,,0,0,0,0,0,15,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6342685370741483,427.1172524000285,427.1172524000285,427.14863499999046,427.1172524000285,427.3503655999666,427.4683305999497,430.88255649991333,430.88255649991333,['1'],1,[0.7545108000049368],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200013,A,2022-10-18_17h54.21.545,mfe_b,2022.2.4,239.40340662716542,
csv_files/a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-BM-231-155-N.jpg,"[0.035, 0.035]",,,,,,,,0,0,0,0,0,16,16,12,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6002004008016035,430.88255649991333,430.88255649991333,430.90482639998663,430.88255649991333,431.1043777000159,431.24082439998165,434.61567019997165,434.61567019997165,['8'],1,[0.8211640999652445],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200013,A,2022-10-18_17h54.21.545,mfe_b,2022.2.4,239.40340662716542,
csv_files/a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-BF-007-001-N.jpg,"[0.035, 0.035]",,,,,,,,0,0,0,0,0,17,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3.844689378757515,434.61567019997165,434.61567019997165,434.6388141999487,434.61567019997165,434.83846100000665,434.9675020999275,438.57904330000747,438.57904330000747,['1'],1,[0.6785080999834463],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200013,A,2022-10-18_17h54.21.545,mfe_b,2022.2.4,239.40340662716542,
csv_files/a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-BF-213-188-N.jpg,"[0.035, 0.035]",,,,,,,,0,0,0,0,0,18,18,15,,,,,,,,,,,,,,,,,,,,,,,,,,,3.866733466933868,438.57904330000747,438.57904330000747,438.61610609991476,438.57904330000747,438.8179800999351,438.932936499943,442.5674615999451,442.5674615999451,['1'],1,[0.6412314000772312],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200013,A,2022-10-18_17h54.21.545,mfe_b,2022.2.4,239.40340662716542,
csv_files/a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.0385, 0]","[-0.0385, 0]",img/neutralC/CFD-WF-203-229-N.jpg,"[0.035, 0.035]",,,,,,,,0,0,0,0,0,19,19,8,,,,,,,,,,,,,,,,,,,,,,,,,,,3.730460921843687,442.5674615999451,442.5674615999451,442.5989870999474,442.5674615999451,442.80029389995616,442.92259749991354,446.31025079998653,446.31025079998653,['8'],1,[0.7878438000334427],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200013,A,2022-10-18_17h54.21.545,mfe_b,2022.2.4,239.40340662716542,
