"id","congAcc","incongAcc","congCorr_meanRT","incongCorr_meanRT","congCorr_logMeanRT","incongCorr_logMeanRT","flankEff_meanACC","flankEff_meanRT","flankEff_logMeanRT","reported_errors","committed_errors","memoryBias_score","percent_incong_errorFaces_reported_old","percent_incong_errorFaces_reported_new","percent_incong_corrFaces_reported_old","percent_incong_corrFaces_reported_new","percent_foilFaces_reported_new","percent_foilFaces_reported_old","percent_post_incong_errorFaces_reported_old","percent_post_incong_errorFaces_reported_new","percent_post_incong_correctFaces_reported_old","percent_post_incong_correctFaces_reported_new","percent_pre_incong_errorFaces_reported_old","percent_pre_incong_errorFaces_reported_new","percent_pre_incong_correctFaces_reported_old","percent_pre_incong_correctFaces_reported_new","errorFaces_hit","pre_errorFaces_hit","post_errorFaces_hit","correctFaces_hit","pre_correctFaces_hit","post_correctFaces_hit","falseAlarm_for_both","d_prime_error","pre_d_prime_error","post_d_prime_error","d_prime_correct","pre_d_prime_correct","post_d_prime_correct","criterion_error","pre_criterion_error","post_criterion_error","criterion_correct","pre_criterion_correct","post_criterion_correct","gen_hit","num_incong_errors","d_prime_error_minus_correct","post_d_prime_error_minus_correct","post_error_rt_mean","post_error_rt_sd","post_correct_rt_mean","post_correct_rt_sd","post_error_slowing_score","post_error_accuracy_mean","post_error_accuracy_sd","post_correct_accuracy_mean","post_correct_accuracy_sd","post_error_accuracy_score","d_prime_overall","overall_hit"
200014,0.994791666666667,0.744791666666667,0.38457289594957,0.456598242764342,0.324473830765928,0.375293335845112,-0.25,0.0720253468147718,0.0508195050791844,30,50,-0.666666666666667,28.5714285714286,71.4285714285714,35.6643356643357,64.3356643356643,74.4791666666667,25.5208333333333,45.4545454545455,54.5454545454545,40.8333333333333,59.1666666666667,28.2608695652174,71.7391304347826,32.4786324786325,67.5213675213675,0.285714285714286,0.282608695652174,0.454545454545455,0.356643356643357,0.324786324786325,0.408333333333333,0.255208333333333,0.0922402178513398,0.0830797585057647,0.544003745462775,0.290743507366222,0.203833086445461,0.426354677331193,-0.612068930858533,-0.616649160531321,-0.386187167052816,-0.512817286101092,-0.556272496561472,-0.445011701118606,0.338541666666667,49,-0.198503289514882,0.117649068131582,0.425499936512841,0.0754086926748194,0.415873630952168,0.0629231702910442,0.00962630556067312,0.936170212765957,0.247092248145165,0.857142857142857,0.351183580912561,0.0790273556231004,0.597226307166155,0.475694444444444
200015,0.994791666666667,0.901041666666667,0.444083946193837,0.534197004195194,0.366081844779597,0.425268878875026,-0.09375,0.0901130580013579,0.0591870340954294,13,20,-0.538461538461538,31.5789473684211,68.4210526315789,35.4651162790698,64.5348837209302,73.9583333333333,26.0416666666667,31.5789473684211,68.4210526315789,31.875,68.125,47.0588235294118,52.9411764705882,37.5796178343949,62.4203821656051,0.315789473684211,0.470588235294118,0.315789473684211,0.354651162790698,0.375796178343949,0.31875,0.260416666666667,0.162555721945551,0.568270101468228,0.162555721945551,0.26926812332931,0.325520963576787,0.170864290046535,-0.560783514303726,-0.357926324542387,-0.560783514303726,-0.507427313611846,-0.479300893488107,-0.556629230253233,0.350785340314136,19,-0.106712401383759,-0.00830856810098451,0.503695442218726,0.0714116869559991,0.474550440761959,0.073159175291188,0.0291450014567665,1,0,0.952380952380952,0.213595504716311,0.0476190476190477,0.598529778464821,0.482638888888889
200016,1,0.921875,0.350292344679474,0.401735307233103,0.299554962588507,0.337293765955551,-0.078125,0.051442962553629,0.037738803367044,20,15,0.25,33.3333333333333,66.6666666666667,42.9378531073446,57.0621468926554,86.4583333333333,13.5416666666667,20,80,39.0243902439024,60.9756097560976,33.3333333333333,66.6666666666667,43.2926829268293,56.7073170731707,0.333333333333333,0.333333333333333,0.2,0.429378531073446,0.432926829268293,0.390243902439024,0.135416666666667,0.670418209078396,0.670418209078396,0.259524274800939,0.923188911356496,0.932217996125756,0.822462110956634,-0.765936403834655,-0.765936403834655,-0.971383370973384,-0.639551052695606,-0.635036510310975,-0.689914452895536,0.421875,15,-0.252770702278099,-0.562937836155695,0.389955959903697,0.0390266829466921,0.372344733433082,0.0483739006414734,0.0176112264706147,1,0,0.964705882352941,0.185067320137686,0.0352941176470588,1.2672743520748,0.565972222222222
200017,1,0.828125,0.368281486579993,0.429435255468688,0.312074412074288,0.356363441620135,-0.171875,0.0611537688886952,0.0442890295458474,5,33,-5.6,54.5454545454545,45.4545454545455,52.2012578616352,47.7987421383648,58.8541666666667,41.1458333333333,54.8387096774194,45.1612903225806,55.2447552447552,44.7552447552448,67.741935483871,32.258064516129,47.945205479452,52.054794520548,0.545454545454545,0.67741935483871,0.548387096774194,0.522012578616352,0.479452054794521,0.552447552447552,0.411458333333333,0.337980492301487,0.684289737083175,0.345382580730542,0.279000578088706,0.172266343189458,0.355642723017089,-0.0548049518293152,0.118349670561529,-0.0511039076147879,-0.0842949089357054,-0.137662026385329,-0.0459738364715139,0.526041666666667,33,0.0589799142127805,-0.0102601422865478,0.375574948529022,0.0514107098135673,0.399021580527126,0.0755556495583009,-0.0234466319981044,0.939393939393939,0.24230584229878,0.928571428571429,0.258379638029533,0.0108225108225108,0.337184119740892,0.545138888888889
200018,0.989583333333333,0.729166666666667,0.377491235796754,0.446483362866898,0.31849274898575,0.365692765264855,-0.260416666666667,0.0689921270701439,0.0472000162791055,35,54,-0.542857142857143,57.6923076923077,42.3076923076923,61.4285714285714,38.5714285714286,54.6875,45.3125,47.7272727272727,52.2727272727273,55,45,55.5555555555556,44.4444444444444,61.0619469026549,38.9380530973451,0.576923076923077,0.555555555555556,0.477272727272727,0.614285714285714,0.610619469026549,0.55,0.453125,0.311798017003021,0.257480173460957,0.060770200220721,0.408276645702489,0.398703822667637,0.243431221434169,0.0381291339224154,0.0109702121513834,-0.0873847744687348,0.0863684482721493,0.0815820367547232,0.00394573613798942,0.604166666666667,52,-0.0964786286994678,-0.182661021213448,0.385735818190204,0.0698531187524339,0.403587256680476,0.0826318867937948,-0.0178514384902718,0.88,0.328260722659316,0.863309352517986,0.344762864289436,0.0166906474820144,0.323751127176549,0.581597222222222
200020,0.984375,0.8125,0.394870490476928,0.470126295513579,0.331499878358493,0.384020331946569,-0.171875,0.0752558050366508,0.0525204535880766,50,39,0.22,69.4444444444444,30.5555555555556,67.3076923076923,32.6923076923077,59.375,40.625,66.6666666666667,33.3333333333333,63.2352941176471,36.7647058823529,77.4193548387097,22.5806451612903,63.5714285714286,36.4285714285714,0.694444444444444,0.774193548387097,0.666666666666667,0.673076923076923,0.635714285714286,0.632352941176471,0.40625,0.745690168438144,0.989930903586957,0.667929408624245,0.685627592634722,0.58422858503565,0.575293766132995,0.135642974890284,0.257763342464691,0.0967625949833348,0.105611686988573,0.0549121831890373,0.0504447737377097,0.677083333333333,36,0.0600625758034219,0.0926356424912503,0.456514478788339,0.0944424425194469,0.423798080147743,0.0765345928608843,0.0327163986405963,0.916666666666667,0.280305955290694,0.906666666666667,0.291873528432355,0.01,0.546697859521029,0.621527777777778
200021,0.989583333333333,0.947916666666667,0.417569851053735,0.504284551649927,0.348209857459122,0.406794894845007,-0.0416666666666667,0.0867147005961919,0.0585850373858855,10,12,-0.2,30,70,45.0549450549451,54.9450549450549,65.1041666666667,34.8958333333333,33.3333333333333,66.6666666666667,47.1264367816092,52.8735632183908,66.6666666666667,33.3333333333333,45.9770114942529,54.0229885057471,0.3,0.666666666666667,0.333333333333333,0.450549450549451,0.459770114942529,0.471264367816092,0.348958333333333,-0.136266235170638,0.81886157683286,-0.0425930217580544,0.263860995453334,0.28712139019471,0.316042331439554,-0.456267395122722,0.0212965108790271,-0.40943078841643,-0.256203779810736,-0.244573582440048,-0.230113111817626,0.442708333333333,10,-0.400127230623972,-0.358635353197608,0.523097511111296,0.0663763773819695,0.454250991380372,0.0854990493715528,0.0688465197309245,1,0,0.988636363636364,0.106295349374755,0.0113636363636364,0.418601486809697,0.512152777777778
200022,0.984375,0.921875,0.412805882702698,0.465706898863621,0.343802111562205,0.37911605541291,-0.0625,0.0529010161609233,0.0353139438507046,20,18,0.1,40,60,21.5909090909091,78.4090909090909,88.5416666666667,11.4583333333333,28.5714285714286,71.4285714285714,21.5568862275449,78.4431137724551,26.6666666666667,73.3333333333333,20.8588957055215,79.1411042944785,0.4,0.266666666666667,0.285714285714286,0.215909090909091,0.208588957055215,0.215568862275449,0.114583333333333,0.949161159789648,0.57958253971536,0.636559440992585,0.416424100008248,0.391181272424632,0.415262007583309,-0.727927683030624,-0.912716993067768,-0.884228542429156,-0.994296212921324,-1.00691762671313,-0.994877259133794,0.230366492146597,15,0.532737059781401,0.221297433409276,0.45551901428568,0.0547762018026502,0.435597519393928,0.109644709034007,0.0199214948917527,0.933333333333333,0.258198889747161,0.970930232558139,0.168492649340608,-0.0375968992248061,1.06719109402974,0.446180555555556
200024,1,0.848958333333333,0.335267826562546,0.39788876748471,0.288425786169616,0.33425516721219,-0.151041666666667,0.0626209409221641,0.0458293810425733,18,29,-0.611111111111111,17.2413793103448,82.7586206896552,42.3312883435583,57.6687116564417,83.3333333333333,16.6666666666667,28.5714285714286,71.4285714285714,43.421052631579,56.578947368421,39.2857142857143,60.7142857142857,39.041095890411,60.958904109589,0.172413793103448,0.392857142857143,0.285714285714286,0.423312883435583,0.39041095890411,0.434210526315789,0.166666666666667,0.0227519747072253,0.695541560702441,0.401472744168838,0.773996092244483,0.689173471534543,0.801757152233148,-0.956045578748089,-0.619650785750481,-0.766685194017282,-0.58042351997946,-0.62283483033443,-0.566542989985127,0.385416666666667,29,-0.751244117537258,-0.40028440806431,0.372677900000065,0.058447239809681,0.365728967105307,0.0544992200204766,0.00694893289475867,0.96551724137931,0.185695338177052,0.944099378881988,0.230446501518491,0.0214178624973228,1.02838429871975,0.524305555555556
200026,0.932291666666667,0.697916666666667,0.36926239325954,0.418334373883701,0.313237017337933,0.348136048540711,-0.234375,0.0490719806241613,0.0348990312027779,32,71,-1.21875,44.8275862068966,55.1724137931034,40.2985074626866,59.7014925373134,69.2708333333333,30.7291666666667,46.8085106382979,53.1914893617021,41.9642857142857,58.0357142857143,30.2325581395349,69.7674418604651,43.9252336448598,56.0747663551402,0.448275862068966,0.302325581395349,0.468085106382979,0.402985074626866,0.439252336448598,0.419642857142857,0.307291666666667,0.373523311003418,-0.0141816585071648,0.423457598513689,0.257913812910261,0.350676812503712,0.300734674078297,-0.316780238808793,-0.510632723564085,-0.291813095053658,-0.374584987855372,-0.328203488058646,-0.353174557271354,0.416666666666667,58,0.115609498093157,0.122722924435393,0.371790072344432,0.0496639637935982,0.394011942346199,0.065602073184973,-0.0222218700017668,0.824561403508772,0.38372269644813,0.848484848484849,0.359916200697335,-0.0239234449760766,0.5427179798136,0.515625
