whichBlock,middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL,straightFace,imageSize,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,task_block_loop.thisRepN,task_block_loop.thisTrialN,task_block_loop.thisN,task_block_loop.thisIndex,prac_blockText.started,prac_blockText.stopped,prac_reminder_text.started,prac_reminder_text.stopped,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,prac_reminder_keyResp.started,prac_reminder_keyResp.stopped,initFixation_img.started,initFixation_img.stopped,ISI,bigFace.started,bigFace.stopped,cover_background_2.started,cover_background_2.stopped,prac_centerImg.started,prac_centerImg.stopped,prac_stim_keyResp.keys,prac_stim_keyResp.started,prac_stim_keyResp.stopped,accuracy,prac_stim_keyResp.rt,prac_blockFeed_text.started,prac_blockFeed_text.stopped,prac_pressContinue.started,prac_pressContinue.stopped,prac_blockFeed_keyResp.keys,prac_blockFeed_keyResp.rt,prac_blockFeed_keyResp.started,prac_blockFeed_keyResp.stopped,id,cb,friendly,date,expName,psychopyVersion,frameRate,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-BF-028-001-N.jpg,"[0.03, 0.03]",0,0,0,0,0,10,10,8,,,,,,,,,,,,,,,3.6482965931863727,62.95787009700143,62.95787009700143,62.95787009700143,63.32432749400323,63.107334610002,63.306907106991275,['8'],62.95787009700143,62.95787009700143,0,[0.490337310009636],,,,,,,,,999,A,A,2022-06-07_16h02.31.591,face_flanker_v1,2022.1.4,60.17477016091886,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-BM-020-001-N.jpg,"[0.03, 0.03]",0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,3.5470941883767537,66.82012475599186,66.82012475599186,66.82012475599186,67.17228183499537,66.95761492100428,67.17228183499537,['1'],66.82012475599186,66.82012475599186,0,[0.4339610809984151],,,,,,,,,999,A,A,2022-06-07_16h02.31.591,face_flanker_v1,2022.1.4,60.17477016091886,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-LF-222-147-N.jpg,"[0.03, 0.03]",0,0,0,0,0,12,12,17,,,,,,,,,,,,,,,3.68937875751503,70.59566668199841,70.59566668199841,70.59566668199841,70.95610598300118,70.73935220600106,70.93895352300024,['1'],70.59566668199841,70.59566668199841,1,[0.5918786350084702],,,,,,,,,999,A,A,2022-06-07_16h02.31.591,face_flanker_v1,2022.1.4,60.17477016091886,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-BF-047-003-N.jpg,"[0.03, 0.03]",0,0,0,0,0,13,13,5,,,,,,,,,,,,,,,3.672344689378758,74.5143199860031,74.5143199860031,74.5143199860031,74.8718826139957,74.64582241199969,74.85493025599862,['1'],74.5143199860031,74.5143199860031,1,[0.5075467709975783],,,,,,,,,999,A,A,2022-06-07_16h02.31.591,face_flanker_v1,2022.1.4,60.17477016091886,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-MM-308-001-N.jpg,"[0.03, 0.03]",0,0,0,0,0,14,14,15,,,,,,,,,,,,,,,3.997995991983968,78.39465630499762,78.39465630499762,78.39465630499762,78.75262108800234,78.5346620749915,78.73566832399229,['1'],78.39465630499762,78.39465630499762,1,[0.39094565001141746],,,,,,,,,999,A,A,2022-06-07_16h02.31.591,face_flanker_v1,2022.1.4,60.17477016091886,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-BM-038-001-N.jpg,"[0.03, 0.03]",0,0,0,0,0,15,15,14,,,,,,,,,,,,,,,3.7254509018036073,82.60305778399925,82.60305778399925,82.60305778399925,82.96661158399365,82.75006730300083,82.94984351299354,['1'],82.60305778399925,82.60305778399925,0,[0.36829163299989887],,,,,,,,,999,A,A,2022-06-07_16h02.31.591,face_flanker_v1,2022.1.4,60.17477016091886,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-WM-225-127-N.jpg,"[0.03, 0.03]",0,0,0,0,0,16,16,7,,,,,,,,,,,,,,,3.8587174348697393,86.55450987200311,86.55450987200311,86.55450987200311,86.91866178899363,86.70142050099093,86.90209878599853,['8'],86.55450987200311,86.55450987200311,1,[0.47293002299556974],,,,,,,,,999,A,A,2022-06-07_16h02.31.591,face_flanker_v1,2022.1.4,60.17477016091886,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-AF-238-185-N.jpg,"[0.03, 0.03]",0,0,0,0,0,17,17,1,,,,,,,,,,,,,,,3.8637274549098195,90.62979365700448,90.62979365700448,90.62979365700448,90.98257069099054,90.76668283599429,90.96644843199465,['8'],90.62979365700448,90.62979365700448,1,[0.4939157990011154],,,,,,,,,999,A,A,2022-06-07_16h02.31.591,face_flanker_v1,2022.1.4,60.17477016091886,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-WF-221-005-N.jpg,"[0.03, 0.03]",0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,3.5430861723446894,94.74138571700314,94.74138571700314,94.74138571700314,95.0994987860031,94.88170930100023,95.08089201200346,['8'],94.74138571700314,94.74138571700314,1,[0.5577352950058412],,,,,,,,,999,A,A,2022-06-07_16h02.31.591,face_flanker_v1,2022.1.4,60.17477016091886,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-AM-206-086-N.jpg,"[0.03, 0.03]",0,0,0,0,0,19,19,16,,,,,,,,,,,,,,,3.8977955911823647,98.49835824799084,98.49835824799084,98.49835824799084,98.8639145539928,98.64799197200045,98.8639145539928,['8'],98.49835824799084,98.49835824799084,1,[0.6205277830013074],,,,,,,,,999,A,A,2022-06-07_16h02.31.591,face_flanker_v1,2022.1.4,60.17477016091886,
a_halfV_trialTable_practice.csv,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.40002580000146,None,102.40002580000146,None,8,1.2310124099894892,102.40002580000146,None,999,A,A,2022-06-07_16h02.31.591,face_flanker_v1,2022.1.4,60.17477016091886,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-BF-205-141-N.jpg,"[0.03, 0.03]",1,0,1,0,0,0,0,3,,,,,103.67830408600275,None,103.67830408600275,None,8,0.7558686069969554,103.67830408600275,None,104.48128158299369,None,3.632264529058116,106.69133311799669,None,106.69133311799669,107.04698166999151,106.82992186199408,107.04698166999151,['1'],106.69133311799669,None,1,[0.6155978890019469],,,,,,,,,999,A,A,2022-06-07_16h02.31.591,face_flanker_v1,2022.1.4,60.17477016091886,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-LF-222-147-N.jpg,"[0.03, 0.03]",1,0,1,0,0,1,1,17,,,,,,,,,,,,,,,3.979959919839679,110.53914826699474,110.53914826699474,110.53914826699474,110.89553115799208,110.67788176599424,110.87809203700454,['1'],110.53914826699474,110.53914826699474,1,[0.4876380200003041],,,,,,,,,999,A,A,2022-06-07_16h02.31.591,face_flanker_v1,2022.1.4,60.17477016091886,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-BF-049-032-N.jpg,"[0.03, 0.03]",1,0,1,0,0,2,2,2,,,,,,,,,,,,,,,3.594188376753507,114.74298239899508,114.74298239899508,114.74298239899508,115.0926100039942,114.89199736100272,115.0926100039942,['1'],114.74298239899508,114.74298239899508,1,[0.4749050120008178],,,,,,,,,999,A,A,2022-06-07_16h02.31.591,face_flanker_v1,2022.1.4,60.17477016091886,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-MM-308-001-N.jpg,"[0.03, 0.03]",1,0,1,0,0,3,3,15,,,,,,,,,,,,,,,3.620240480961924,118.54649110400351,118.54649110400351,118.54649110400351,118.90787644300144,118.69229127900326,118.89180481499352,['1'],118.54649110400351,118.54649110400351,1,[0.7113109969941434],,,,,,,,,999,A,A,2022-06-07_16h02.31.591,face_flanker_v1,2022.1.4,60.17477016091886,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-AM-236-090-N.jpg,"[0.03, 0.03]",1,0,1,0,0,4,4,6,,,,,,,,,,,,,,,3.975951903807615,122.38513744999364,122.38513744999364,122.38513744999364,122.74143250899215,122.52464729799249,122.72414540599857,['1'],122.38513744999364,122.38513744999364,1,[0.5561610420118086],,,,,,,,,999,A,A,2022-06-07_16h02.31.591,face_flanker_v1,2022.1.4,60.17477016091886,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-LF-221-002-N.jpg,"[0.03, 0.03]",1,0,1,0,0,5,5,10,,,,,,,,,,,,,,,3.6052104208416837,126.57590859600168,126.57590859600168,126.57590859600168,126.94106691399065,126.72362063400215,126.92368709799484,['1'],126.57590859600168,126.57590859600168,0,[0.41851834100089036],,,,,,,,,999,A,A,2022-06-07_16h02.31.591,face_flanker_v1,2022.1.4,60.17477016091886,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-BF-047-003-N.jpg,"[0.03, 0.03]",1,0,1,0,0,6,6,5,,,,,,,,,,,,,,,3.6092184368737477,130.40967955399537,130.40967955399537,130.40967955399537,130.77358036799706,130.5559105049906,130.7562735429965,['1'],130.40967955399537,130.40967955399537,1,[0.71108474599896],,,,,,,,,999,A,A,2022-06-07_16h02.31.591,face_flanker_v1,2022.1.4,60.17477016091886,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-AF-238-185-N.jpg,"[0.03, 0.03]",1,0,1,0,0,7,7,1,,,,,,,,,,,,,,,3.769539078156313,134.21580804199039,134.21580804199039,134.21580804199039,134.5722613550024,134.35469824800384,134.55459102599707,['8'],134.21580804199039,134.21580804199039,1,[0.5965555820002919],,,,,,,,,999,A,A,2022-06-07_16h02.31.591,face_flanker_v1,2022.1.4,60.17477016091886,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-MM-303-002-N.jpg,"[0.03, 0.03]",1,0,1,0,0,8,8,0,,,,,,,,,,,,,,,3.9368737474949898,138.1851282819989,138.1851282819989,138.1851282819989,138.53654668499075,138.32055863700225,138.53654668499075,['1'],138.1851282819989,138.1851282819989,1,[0.5623907179979142],,,,,,,,,999,A,A,2022-06-07_16h02.31.591,face_flanker_v1,2022.1.4,60.17477016091886,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-AF-228-173-N.jpg,"[0.03, 0.03]",1,0,1,0,0,9,9,9,,,,,,,,,,,,,,,3.6382765531062122,142.3381898529915,142.3381898529915,142.3381898529915,142.70192513099755,142.486421374997,142.68442718299048,['8'],142.3381898529915,142.3381898529915,1,[0.6231366710126167],,,,,,,,,999,A,A,2022-06-07_16h02.31.591,face_flanker_v1,2022.1.4,60.17477016091886,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-MF-306-003-N.jpg,"[0.03, 0.03]",1,0,1,0,0,10,10,13,,,,,,,,,,,,,,,3.866733466933868,146.19810971600236,146.19810971600236,146.19810971600236,146.5519517079956,146.33467775199097,146.5358379190002,['8'],146.19810971600236,146.19810971600236,1,[0.4689470430021174],,,,,,,,,999,A,A,2022-06-07_16h02.31.591,face_flanker_v1,2022.1.4,60.17477016091886,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-BM-038-001-N.jpg,"[0.03, 0.03]",1,0,1,0,0,11,11,14,,,,,,,,,,,,,,,3.846693386773547,150.27237883899943,150.27237883899943,150.27237883899943,150.635480130004,150.41730241700134,150.61741275199165,['8'],150.27237883899943,150.27237883899943,1,[0.622727235997445],,,,,,,,,999,A,A,2022-06-07_16h02.31.591,face_flanker_v1,2022.1.4,60.17477016091886,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-AM-206-086-N.jpg,"[0.03, 0.03]",1,0,1,0,0,12,12,16,,,,,,,,,,,,,,,3.844689378757515,154.32343084400054,154.32343084400054,154.32343084400054,154.68292632499652,154.44886896999378,154.64894018699124,['8'],154.32343084400054,154.32343084400054,1,[0.554735547004384],,,,,,,,,999,A,A,2022-06-07_16h02.31.591,face_flanker_v1,2022.1.4,60.17477016091886,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-WF-039-025-N.jpg,"[0.03, 0.03]",1,0,1,0,0,13,13,12,,,,,,,,,,,,,,,3.6543086172344688,158.404635126004,158.404635126004,158.404635126004,158.76341010599572,158.54725709700142,158.74751812699833,['1'],158.404635126004,158.404635126004,1,[0.5649724090035306],,,,,,,,,999,A,A,2022-06-07_16h02.31.591,face_flanker_v1,2022.1.4,60.17477016091886,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-BM-020-001-N.jpg,"[0.03, 0.03]",1,0,1,0,0,14,14,11,,,,,,,,,,,,,,,3.859719438877755,162.2665917379927,162.2665917379927,162.2665917379927,162.62993478999124,162.41367581799568,162.62993478999124,['8'],162.2665917379927,162.2665917379927,1,[0.48176010900351685],,,,,,,,,999,A,A,2022-06-07_16h02.31.591,face_flanker_v1,2022.1.4,60.17477016091886,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-BF-028-001-N.jpg,"[0.03, 0.03]",1,0,1,0,0,15,15,8,,,,,,,,,,,,,,,3.676352705410822,166.33496036799625,166.33496036799625,166.33496036799625,166.69757902699348,166.4808848679968,166.6807418649987,['8'],166.33496036799625,166.33496036799625,0,[0.43821510700217914],,,,,,,,,999,A,A,2022-06-07_16h02.31.591,face_flanker_v1,2022.1.4,60.17477016091886,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-AF-212-097-N.jpg,"[0.03, 0.03]",1,0,1,0,0,16,16,4,,,,,,,,,,,,,,,3.721442885771543,170.19559979099722,170.19559979099722,170.19559979099722,170.56133218300238,170.34433043999888,170.54501117399195,['1'],170.19559979099722,170.19559979099722,1,[1.0483049590111477],,,,,,,,,999,A,A,2022-06-07_16h02.31.591,face_flanker_v1,2022.1.4,60.17477016091886,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-WM-225-127-N.jpg,"[0.03, 0.03]",1,0,1,0,0,17,17,7,,,,,,,,,,,,,,,3.841683366733467,174.13756186699902,174.13756186699902,174.13756186699902,174.4940290980012,174.2772271260037,174.47769985899504,None,174.13756186699902,174.13756186699902,1,,,,,,,,,,999,A,A,2022-06-07_16h02.31.591,face_flanker_v1,2022.1.4,60.17477016091886,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-IM-617-174-N.jpg,"[0.03, 0.03]",1,0,1,0,0,18,18,19,,,,,,,,,,,,,,,3.5741482965931866,178.20545371199842,178.20545371199842,178.20545371199842,178.55852188599238,178.34193990100175,178.5434925629961,None,178.20545371199842,178.20545371199842,1,,,,,,,,,,999,A,A,2022-06-07_16h02.31.591,face_flanker_v1,2022.1.4,60.17477016091886,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-WF-221-005-N.jpg,"[0.03, 0.03]",1,0,1,0,0,19,19,18,,,,,,,,,,,,,,,3.729458917835671,181.99602110800333,181.99602110800333,181.99602110800333,182.35948577799718,182.1416869169916,182.342550692003,None,181.99602110800333,181.99602110800333,1,,,,,,,,,,999,A,A,2022-06-07_16h02.31.591,face_flanker_v1,2022.1.4,60.17477016091886,
a_halfV_trialTable_practice.csv,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.7510972040036,None,185.7510972040036,None,8,2.216815735999262,185.7510972040036,None,999,A,A,2022-06-07_16h02.31.591,face_flanker_v1,2022.1.4,60.17477016091886,
