whichBlock,middleStim,leftStim,rightStim,stimNum,congruent,target,locationC,locationR,locationL,straightFace,imageSize,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,prac_trial_loop.thisRepN,prac_trial_loop.thisTrialN,prac_trial_loop.thisN,prac_trial_loop.thisIndex,prac_blockText.started,prac_blockText.stopped,prac_reminder_text.started,prac_reminder_text.stopped,prac_reminder_keyResp.keys,prac_reminder_keyResp.rt,prac_reminder_keyResp.started,prac_reminder_keyResp.stopped,initFixation_img.started,initFixation_img.stopped,ISI,bigFace.started,bigFace.stopped,cover_background_2.started,cover_background_2.stopped,prac_centerImg.started,prac_centerImg.stopped,prac_stim_keyResp.keys,prac_stim_keyResp.started,prac_stim_keyResp.stopped,accuracy,id,cb,friendly,date,expName,psychopyVersion,frameRate,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-AF-228-173-N.jpg,"[0.03, 0.03]",0,0,0,0,0,10,10,9,,,,,,,,,,,3.791583166332665,74.87619020200509,74.87619020200509,74.87619020200509,75.22783818299649,75.01362895399507,75.22783818299649,None,74.87619020200509,74.87619020200509,0,999,A,A,2022-06-07_16h06.04.058,face_flanker_v1,2022.1.4,60.406176933889626,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-LF-222-147-N.jpg,"[0.03, 0.03]",0,0,0,0,0,11,11,17,,,,,,,,,,,3.8957915831663326,78.9039694450039,78.9039694450039,78.9039694450039,79.2626128050033,79.04644357200596,79.2626128050033,None,78.9039694450039,78.9039694450039,0,999,A,A,2022-06-07_16h06.04.058,face_flanker_v1,2022.1.4,60.406176933889626,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-BF-028-001-N.jpg,"[0.03, 0.03]",0,0,0,0,0,12,12,8,,,,,,,,,,,3.601202404809619,83.02605591800238,83.02605591800238,83.02605591800238,83.3645367709978,83.15089535500738,83.34921461199701,None,83.02605591800238,83.02605591800238,0,999,A,A,2022-06-07_16h06.04.058,face_flanker_v1,2022.1.4,60.406176933889626,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-BF-049-032-N.jpg,"[0.03, 0.03]",0,0,0,0,0,13,13,2,,,,,,,,,,,3.8256513026052104,86.85273367799527,86.85273367799527,86.85273367799527,87.20946544999606,86.97642610200273,87.17621857099584,None,86.85273367799527,86.85273367799527,0,999,A,A,2022-06-07_16h06.04.058,face_flanker_v1,2022.1.4,60.406176933889626,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-BF-205-141-N.jpg,"[0.03, 0.03]",0,0,0,0,0,14,14,3,,,,,,,,,,,3.7995991983967934,90.91256898699794,90.91256898699794,90.91256898699794,91.2754327349976,91.0589486569952,91.25927735900041,None,90.91256898699794,90.91256898699794,0,999,A,A,2022-06-07_16h06.04.058,face_flanker_v1,2022.1.4,60.406176933889626,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/leftArrow.png,img/leftArrow.png,7,0,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-BM-020-001-N.jpg,"[0.03, 0.03]",0,0,0,0,0,15,15,11,,,,,,,,,,,3.6733466933867733,94.92777198000113,94.92777198000113,94.92777198000113,95.29104712999833,95.07408535899594,95.27445206900302,None,94.92777198000113,94.92777198000113,0,999,A,A,2022-06-07_16h06.04.058,face_flanker_v1,2022.1.4,60.406176933889626,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-MM-308-001-N.jpg,"[0.03, 0.03]",0,0,0,0,0,16,16,15,,,,,,,,,,,3.968937875751503,98.81646196200745,98.81646196200745,98.81646196200745,99.17430766699545,98.95664632700209,99.15786843499518,None,98.81646196200745,98.81646196200745,0,999,A,A,2022-06-07_16h06.04.058,face_flanker_v1,2022.1.4,60.406176933889626,
a_halfV_trialTable_practice.csv,img/rightArrow.png,img/rightArrow.png,img/rightArrow.png,5,1,right,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-IM-617-174-N.jpg,"[0.03, 0.03]",0,0,0,0,0,17,17,19,,,,,,,,,,,3.6492985971943885,102.99922531300399,102.99922531300399,102.99922531300399,103.35613135099993,103.13978136600053,103.33854042300663,None,102.99922531300399,102.99922531300399,0,999,A,A,2022-06-07_16h06.04.058,face_flanker_v1,2022.1.4,60.406176933889626,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/leftArrow.png,img/leftArrow.png,6,1,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-WF-039-025-N.jpg,"[0.03, 0.03]",0,0,0,0,0,18,18,12,,,,,,,,,,,3.7334669338677355,106.87737102700339,106.87737102700339,106.87737102700339,107.23870497000462,107.02058049499465,107.22158042300725,None,106.87737102700339,106.87737102700339,0,999,A,A,2022-06-07_16h06.04.058,face_flanker_v1,2022.1.4,60.406176933889626,
a_halfV_trialTable_practice.csv,img/leftArrow.png,img/rightArrow.png,img/rightArrow.png,8,0,left,"[0, 0]","[0.033, 0]","[-0.033, 0]",img/neutralC/CFD-MM-303-002-N.jpg,"[0.03, 0.03]",0,0,0,0,0,19,19,0,,,,,,,,,,,3.7745490981963927,110.82714150099491,110.82714150099491,110.82714150099491,111.186555029999,110.97055456999806,111.17007562299841,None,110.82714150099491,110.82714150099491,0,999,A,A,2022-06-07_16h06.04.058,face_flanker_v1,2022.1.4,60.406176933889626,
