whichSurpriseBlock,instructsurpA1,instructsurpA2,newKey,taskTextSource,instructfrA1,instructfrA2,FriendlyKey,surp_csv_name,surpriseFaces,new,prac_block_loop.thisRepN,prac_block_loop.thisTrialN,prac_block_loop.thisN,prac_block_loop.thisIndex,task_block_loop.thisRepN,task_block_loop.thisTrialN,task_block_loop.thisN,task_block_loop.thisIndex,surprise_block_loop.thisRepN,surprise_block_loop.thisTrialN,surprise_block_loop.thisN,surprise_block_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,fix.started,fix.stopped,errorNumbers_text_2.started,errorNumbers_text_2.stopped,textbox_2.text,textbox_2.started,textbox_2.stopped,errorN_key_resp_2.keys,errorN_key_resp_2.rt,errorN_key_resp_2.started,errorN_key_resp_2.stopped,botherRate_text.started,botherRate_text.stopped,textbox_3.text,textbox_3.started,textbox_3.stopped,botherRate_key_resp.keys,botherRate_key_resp.rt,botherRate_key_resp.started,botherRate_key_resp.stopped,instruct_surprise1.started,instruct_surprise1.stopped,instruct_surp1_key_resp.keys,instruct_surp1_key_resp.rt,instructMainTask_text.started,instructMainTask_text.stopped,instructMainTask_keyResp.keys,instructMainTask_keyResp.rt,instructMainTask_keyResp.started,instructMainTask_keyResp.stopped,stimulus.started,stimulus.stopped,instructsurpA1_right.started,instructsurpA1_right.stopped,instructsurpA2_left.started,instructsurpA2_left.stopped,surprise_key_resp.keys,surprise_key_resp.rt,surprise_key_resp.started,surprise_key_resp.stopped,stimulus12.started,stimulus12.stopped,instructsurpA1_right_2.started,instructsurpA1_right_2.stopped,instructsurpA2_left_2.started,instructsurpA2_left_2.stopped,friendly_key_resp.keys,friendly_key_resp.rt,friendly_key_resp.started,friendly_key_resp.stopped,id,cb,friendly,date,expName,psychopyVersion,frameRate,
half_surp_table1.csv,OLD - Right Key,NEW - Left Key,left,"In this round, press Right key when the face is OLD and the left key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",Friendly - Right Key,Unfriendly - Left Key,right,csv_files/surprise_csv_files/surpriseTable_row354.csv,,,,,,,,,,,0,0,0,0,0,3,3,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,A,A,2022-08-01_12h03.15.986,face_flanker_v1,2022.1.4,59.97195709481641,
half_surp_table1.csv,OLD - Right Key,NEW - Left Key,left,"In this round, press Right key when the face is OLD and the left key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",Friendly - Right Key,Unfriendly - Left Key,right,csv_files/surprise_csv_files/surpriseTable_row206.csv,img/neutralC/CFD-WF-022-017-N.jpg,0,,,,,,,,,0,0,0,0,0,4,4,204,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.97064980026335,None,256.97064980026335,None,256.97064980026335,None,8,0.08700460009276867,256.97064980026335,None,257.16522779967636,None,257.16522779967636,None,257.16522779967636,None,8,0.07987719960510731,257.16522779967636,None,999,A,A,2022-08-01_12h03.15.986,face_flanker_v1,2022.1.4,59.97195709481641,
half_surp_table1.csv,OLD - Right Key,NEW - Left Key,left,"In this round, press Right key when the face is OLD and the left key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",Friendly - Right Key,Unfriendly - Left Key,right,csv_files/surprise_csv_files/surpriseTable_row206.csv,,,,,,,,,,,0,0,0,0,0,4,4,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,A,A,2022-08-01_12h03.15.986,face_flanker_v1,2022.1.4,59.97195709481641,
half_surp_table1.csv,OLD - Right Key,NEW - Left Key,left,"In this round, press Right key when the face is OLD and the left key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",Friendly - Right Key,Unfriendly - Left Key,right,csv_files/surprise_csv_files/surpriseTable_row372.csv,img/neutralC/CFD-IF-693-172-N.jpg,0,,,,,,,,,0,0,0,0,0,5,5,143,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.38098570052534,None,257.38098570052534,None,257.38098570052534,None,8,0.07948970049619675,257.38098570052534,None,257.57522640004754,None,257.57522640004754,None,257.57522640004754,None,8,0.13857949990779161,257.57522640004754,None,999,A,A,2022-08-01_12h03.15.986,face_flanker_v1,2022.1.4,59.97195709481641,
half_surp_table1.csv,OLD - Right Key,NEW - Left Key,left,"In this round, press Right key when the face is OLD and the left key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",Friendly - Right Key,Unfriendly - Left Key,right,csv_files/surprise_csv_files/surpriseTable_row372.csv,,,,,,,,,,,0,0,0,0,0,5,5,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,A,A,2022-08-01_12h03.15.986,face_flanker_v1,2022.1.4,59.97195709481641,
half_surp_table1.csv,OLD - Right Key,NEW - Left Key,left,"In this round, press Right key when the face is OLD and the left key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",Friendly - Right Key,Unfriendly - Left Key,right,csv_files/surprise_csv_files/surpriseTable_row330.csv,img/neutralC/CFD-LF-240-199-N.jpg,0,,,,,,,,,0,0,0,0,0,6,6,55,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.838965700008,None,257.838965700008,None,257.838965700008,None,8,0.13476629927754402,257.838965700008,None,258.10589979961514,None,258.10589979961514,None,258.10589979961514,None,8,0.11029480025172234,258.10589979961514,None,999,A,A,2022-08-01_12h03.15.986,face_flanker_v1,2022.1.4,59.97195709481641,
half_surp_table1.csv,OLD - Right Key,NEW - Left Key,left,"In this round, press Right key when the face is OLD and the left key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",Friendly - Right Key,Unfriendly - Left Key,right,csv_files/surprise_csv_files/surpriseTable_row330.csv,,,,,,,,,,,0,0,0,0,0,6,6,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,A,A,2022-08-01_12h03.15.986,face_flanker_v1,2022.1.4,59.97195709481641,
half_surp_table1.csv,OLD - Right Key,NEW - Left Key,left,"In this round, press Right key when the face is OLD and the left key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",Friendly - Right Key,Unfriendly - Left Key,right,csv_files/surprise_csv_files/surpriseTable_row413.csv,img/neutralC/CFD-LF-252-172-N.jpg,0,,,,,,,,,0,0,0,0,0,7,7,71,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.3885163003579,None,258.3885163003579,None,258.3885163003579,None,8,0.049316199496388435,258.3885163003579,None,258.5522354999557,None,258.5522354999557,None,258.5522354999557,None,8,0.08562680054455996,258.5522354999557,None,999,A,A,2022-08-01_12h03.15.986,face_flanker_v1,2022.1.4,59.97195709481641,
half_surp_table1.csv,OLD - Right Key,NEW - Left Key,left,"In this round, press Right key when the face is OLD and the left key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",Friendly - Right Key,Unfriendly - Left Key,right,csv_files/surprise_csv_files/surpriseTable_row413.csv,,,,,,,,,,,0,0,0,0,0,7,7,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,A,A,2022-08-01_12h03.15.986,face_flanker_v1,2022.1.4,59.97195709481641,
half_surp_table1.csv,OLD - Right Key,NEW - Left Key,left,"In this round, press Right key when the face is OLD and the left key when it is new.

To get ready, rest your right and left index fingers on the right and left buttons, then press the right button when you are ready to begin.",Friendly - Right Key,Unfriendly - Left Key,right,csv_files/surprise_csv_files/surpriseTable_row341.csv,img/neutralC/CFD-LF-201-035-N.jpg,0,,,,,,,,,0,0,0,0,0,8,8,216,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.7674064999446,None,258.7674064999446,None,258.7674064999446,None,8,0.11082480009645224,258.7674064999446,None,258.9824173003435,None,258.9824173003435,None,258.9824173003435,None,8,0.092939299531281,258.9824173003435,None,999,A,A,2022-08-01_12h03.15.986,face_flanker_v1,2022.1.4,59.97195709481641,
